AS_ID	Gene_ID	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
ORC2_RI_1090	ORC2	chr2	-	200913294	200913992	200913294	200913413	200913930	200913992	0.525988505747126	0.397733333333333	1.91223908215362e-10	-0.40322979617244	-0.128255172413793
PPCS_RI_132	PPCS	chr1	+	42456493	42457350	42456493	42457073	42457246	42457350	0.457126436781609	0.314888888888889	1.3809924956135e-12	-0.537750404368139	-0.14223754789272
TREX1_RI_157	TREX1	chr3	+	48465519	48467645	48465519	48466309	48466629	48467645	0.600597701149425	0.379777777777778	5.53832058610724e-10	-0.661243462380231	-0.220819923371647
HMGN3_RI_173	HMGN3	chr6	-	79201244	79202389	79201244	79201726	79202316	79202389	0.597264367816092	0.455666666666667	5.91618557906369e-11	-0.39039081751986	-0.141597701149425
HMGN3_RI_174	HMGN3	chr6	-	79201244	79202389	79201244	79201726	79202275	79202389	0.549367816091954	0.366822222222222	4.02655527017455e-15	-0.582691354150475	-0.182545593869732
MCM7_RI_215	MCM7	chr7	-	100099022	100099403	100099022	100099203	100099278	100099403	0.385091954022989	0.270511111111111	3.84505763255493e-14	-0.509515127022865	-0.114580842911877
PDK1_RI_235	PDK1	chr2	+	172595828	172599134	172595828	172596023	172597612	172599134	0.808218390804598	0.705977777777778	5.9581931311896e-13	-0.19512240788182	-0.10224061302682
BICD2_RI_28	BICD2	chr9	-	92711362	92715463	92711362	92713461	92715252	92715463	0.894103448275862	0.787488888888889	3.78775604443786e-07	-0.183182193829158	-0.106614559386973
ZNRD1_RI_395	ZNRD1	chr6	+	30061239	30061669	30061239	30061398	30061514	30061669	0.64767816091954	0.485911111111111	4.79778686009578e-11	-0.414584676330009	-0.161767049808429
SLC30A7_RI_51	SLC30A7	chr1	+	100974809	100981755	100974809	100974902	100975218	100981755	0.885712643678161	0.750533333333333	5.64516837575121e-08	-0.238922566212925	-0.135179310344828
C6orf25_RI_527	C6orf25	chr6	+	31724745	31726708	31724745	31724844	31724969	31726708	0.102609195402299	0.285111111111111	6.63989553171495e-12	1.47436423890381	0.182501915708812
ELMOD3_RI_553	ELMOD3	chr2	+	85390137	85391752	85390137	85390265	85390759	85391752	0.25816091954023	0.364133333333333	3.01606038999161e-07	0.496196191717532	0.105972413793103
QKI_RI_629	QKI	chr6	+	163563419	163578596	163563419	163563719	163564666	163578596	0.748804597701149	0.587111111111111	4.1516393786202e-10	-0.350955733145111	-0.161693486590038
PRKD2_RI_638	PRKD2	chr19	-	46716130	46717127	46716130	46716535	46716814	46717127	0.928632183908046	0.819777777777778	3.17795593373658e-16	-0.179874399245152	-0.108854406130268
AMZ2_RI_663	AMZ2	chr17	+	68248003	68248705	68248003	68248086	68248639	68248705	0.929367816091954	0.814755555555556	8.67596684914538e-10	-0.189882401068842	-0.114612260536399
FLAD1_RI_706	FLAD1	chr1	+	154983293	154984066	154983293	154983397	154983841	154984066	0.553919540229885	0.3634	4.1368631071153e-08	-0.608118012764766	-0.190519540229885
HLTF_RI_822	HLTF	chr3	-	149030116	149032372	149030116	149031363	149032200	149032372	0.527183908045977	0.687844444444444	9.27486903925603e-07	0.383776003638959	0.160660536398467
BCL2L11_RI_90	BCL2L11	chr2	+	111123732	111124139	111123732	111123869	111124049	111124139	0.514655172413793	0.673844444444444	1.04621944296973e-12	0.388809460626072	0.159189272030651
GMPR2_RI_787	GMPR2	chr14	+	24232871	24233340	24232871	24232977	24233218	24233340	0.263862068965517	0.373866666666667	8.95900053075012e-11	0.502739875183565	0.110004597701149
ENOSF1_RI_633	ENOSF1	chr18	-	670323	674406	670323	673076	674160	674406	0.360459770114943	0.6424	4.75006700287909e-13	0.83363363947611	0.281940229885057
THTPA_RI_293	THTPA	chr14	+	23555981	23557039	23555981	23556343	23556742	23557039	0.745310344827586	0.633222222222222	3.29610798217955e-07	-0.235129398126091	-0.112088122605364
MFSD11_RI_823	MFSD11	chr17	+	76737500	76738448	76737500	76738165	76738281	76738448	0.482816091954023	0.3558	2.34296610970052e-10	-0.440407250399583	-0.127016091954023
METTL5_RI_715	METTL5	chr2	-	169824488	169824931	169824488	169824640	169824781	169824931	0.234977011494253	0.134933333333333	4.58658665082942e-06	-0.800272831200394	-0.10004367816092
SRSF1_RI_177	SRSF1	chr17	-	58000918	58005973	58000918	58004001	58004922	58005973	0.562183908045977	0.666866666666667	4.89507892410029e-12	0.246356179168478	0.10468275862069
P3H1_RI_111	P3H1	chr1	-	42746334	42747412	42746334	42746852	42747271	42747412	0.535402298850575	0.424088888888889	4.48578120447989e-05	-0.33625664859487	-0.111313409961686
NSUN5_RI_645	NSUN5	chr7	-	73302515	73303740	73302515	73303529	73303599	73303740	0.537597701149425	0.405155555555556	4.46454241616366e-07	-0.408051045782757	-0.13244214559387
UXT_RI_1050	UXT	chrX	-	47658829	47659180	47658829	47658936	47659114	47659180	0.456229885057471	0.298244444444444	3.12511623482417e-05	-0.613265688260705	-0.157985440613027
MAP3K12_RI_641	MAP3K12	chr12	-	53486946	53487428	53486946	53487155	53487254	53487428	0.604218390804598	0.723577777777778	7.10134630776921e-05	0.260078004641378	0.11935938697318
