AS_ID	Gene_ID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
YIPF1_MXE_100807	YIPF1	chr1	-	53883112	53883276	53889243	53889463	53878641	53878722	53889712	53889814	0.138666666666667	0.259526315789474	7.49504158610303e-08	0.904259806637598	0.120859649122807
BNIP2_MXE_100830	BNIP2	chr15	-	59680240	59680308	59682407	59682514	59677910	59678087	59689134	59689443	0.698862068965517	0.887210526315789	3.56995690808076e-07	0.344268736530467	0.188348457350272
TMCO3_MXE_100952	TMCO3	chr13	+	113499957	113500149	113548302	113548452	113498341	113498521	113549424	113550229	0.885137931034483	0.777473684210526	7.66608763549715e-08	-0.18710844387967	-0.107664246823956
MRPL22_MXE_101007	MRPL22	chr5	+	154941216	154941265	154950820	154950938	154941072	154941138	154956370	154956436	0.467172413793103	0.277368421052632	5.47720456743085e-09	-0.752151543285593	-0.189803992740472
R3HDM1_MXE_102653	R3HDM1	chr2	+	135602499	135602708	135616667	135616757	135531454	135531633	135621493	135621608	0.386597701149425	0.672526315789474	7.54085013625039e-09	0.798757662291111	0.285928614640048
DDB1_MXE_103066	DDB1	chr11	-	61326778	61326893	61331542	61331691	61325610	61325708	61332907	61333212	0.30432183908046	0.453526315789474	1.44493672208379e-07	0.575588395478718	0.149204476709014
ENTPD6_MXE_103637	ENTPD6	chr20	+	25221231	25221333	25222837	25222978	25218549	25218614	25224100	25224157	0.114505747126437	0.244947368421053	8.71232599344125e-09	1.0970517821379	0.130441621294616
ARHGEF1_MXE_103785	ARHGEF1	chr19	+	41906456	41906620	41906702	41906803	41905938	41906025	41907104	41907452	0.119724137931034	0.226736842105263	1.72724707278389e-09	0.921304783783715	0.107012704174229
ARHGEF1_MXE_103792	ARHGEF1	chr19	+	41902783	41902898	41903306	41903407	41902532	41902658	41903706	41903784	0.220471264367816	0.343421052631579	1.05355597029457e-07	0.639387852085508	0.122949788263763
CCND3_MXE_103847	CCND3	chr6	-	41936558	41936695	41937234	41937394	41934932	41936107	42048500	42048894	0.533781609195402	0.274368421052632	3.68361747215282e-09	-0.960135158632609	-0.259413188142771
