AS_ID	Gene_ID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
TMC8_MXE_100375	TMC8	chr17	+	78137234	78137358	78137716	78137814	78134869	78135009	78138004	78138188	0.677105263157895	0.381703703703704	1.30950336596969e-10	-0.826926948188016	-0.295401559454191
VAMP7_MXE_100420	VAMP7	chrX	+	155889457	155889612	155919812	155919880	155881279	155881448	155939700	155939793	0.411631578947368	0.659148148148148	8.58593123159277e-08	0.679249092422396	0.24751656920078
SFPQ_MXE_10042	SFPQ	chr1	-	35187202	35187251	35187972	35188090	35187000	35187122	35189002	35189087	0.631052631578947	0.879074074074074	1.11756675269352e-08	0.478224402295326	0.248021442495127
SELL_MXE_100452	SELL	chr1	-	169703254	169703440	169707341	169707449	169701559	169701688	169708416	169708803	0.506631578947368	0.399037037037037	1.17853883882468e-08	-0.34441434684566	-0.107594541910331
SELL_MXE_100468	SELL	chr1	-	169696534	169696553	169708416	169708803	169690664	169691802	169710435	169710517	0.922631578947368	0.816814814814815	1.11756675269352e-08	-0.175745639383741	-0.105816764132554
TXNDC15_MXE_100537	TXNDC15	chr5	+	134887694	134888182	134896293	134896424	134873769	134874530	134899488	134901633	0.171421052631579	0.399518518518518	3.43627518805565e-07	1.2207180754566	0.22809746588694
SAP130_MXE_100564	SAP130	chr2	-	127986784	127986962	127989563	127989866	127954985	127955344	127993186	127993308	0.906315789473684	0.741555555555556	9.11509105363339e-08	-0.289459039100614	-0.164760233918129
UBAP2L_MXE_10082	UBAP2L	chr1	+	154261591	154261697	154266500	154266568	154260891	154261109	154268759	154268954	0.899684210526316	0.597592592592593	1.27255013221623e-08	-0.590256438390586	-0.302091617933723
LMAN1_MXE_100975	LMAN1	chr18	-	59331417	59331539	59333090	59333244	59327823	59331129	59338556	59338627	0.512736842105263	0.926481481481481	1.1187244750021e-08	0.853543575319734	0.413744639376218
UBAP2L_MXE_10097	UBAP2L	chr1	+	154255682	154255755	154257062	154257258	154255151	154255326	154257345	154257434	0.486263157894737	0.615222222222222	2.14423707435152e-08	0.339370326504703	0.128959064327485
ABCA7_MXE_101075	ABCA7	chr19	+	1057914	1058059	1058617	1058747	1057313	1057429	1058819	1058940	0.419157894736842	0.276148148148148	1.11756675269352e-08	-0.602051349786106	-0.143009746588694
ABCA7_MXE_101089	ABCA7	chr19	+	1056329	1056499	1057313	1057429	1056065	1056243	1057914	1058059	0.238842105263158	0.599777777777778	1.12104309505028e-08	1.32837087979579	0.36093567251462
ABCA7_MXE_101090	ABCA7	chr19	+	1056329	1056499	1056906	1057084	1056065	1056243	1057313	1057429	0.291368421052632	0.573222222222222	1.11988325551105e-08	0.976250015517222	0.281853801169591
DDX42_MXE_101338	DDX42	chr17	+	63787033	63787270	63792411	63792562	63774188	63774376	63798037	63798099	0.361947368421053	0.524	2.00646100281404e-08	0.533786884725918	0.162052631578947
EIF3A_MXE_101410	EIF3A	chr10	-	119073440	119073577	119073746	119073937	119072889	119073053	119080627	119080822	0.443368421052632	0.547222222222222	4.5966296848101e-08	0.303620800206657	0.103853801169591
WHSC1L1_MXE_101498	WHSC1L1	chr8	-	38318894	38318940	38326729	38326856	38316416	38318038	38329377	38329893	0.848105263157895	0.968222222222222	1.26602576269035e-08	0.191094869726606	0.120116959064328
PDE7A_MXE_10151	PDE7A	chr8	-	65779719	65779803	65782782	65782843	65747651	65747803	65841370	65841734	0.157578947368421	0.353037037037037	2.40584713888392e-07	1.16374474141197	0.195458089668616
TNRC18_MXE_101657	TNRC18	chr7	-	5314983	5315148	5315955	5316072	5312502	5313863	5320317	5320426	0.94178947368421	0.800592592592593	3.34789416213478e-08	-0.234336330437403	-0.141196881091618
SRSF5_MXE_101673	SRSF5	chr14	+	69768797	69768896	69769181	69769251	69768603	69768674	69770466	69770540	0.675421052631579	0.539740740740741	5.20177122070104e-08	-0.323520559324066	-0.135680311890838
SRSF5_MXE_101685	SRSF5	chr14	+	69768603	69768674	69770466	69770540	69768137	69768282	69770994	69771105	0.486684210526316	0.376555555555556	1.1187244750021e-08	-0.370123239819164	-0.11012865497076
