AS_ID	Gene_ID	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
KCNAB2_SE_101399	KCNAB2	chr1	+	6041830	6041872	6040516	6040645	6072754	6072798	0.490471264367816	0.315577777777778	1.45143836223632e-17	-0.636172996752326	-0.174893486590038
GPBP1_SE_102604	GPBP1	chr5	+	57221375	57221396	57214073	57214193	57230845	57230969	0.41932183908046	0.297933333333333	2.69514943028943e-10	-0.493068426436278	-0.121388505747126
PGAP2_SE_10504	PGAP2	chr11	+	3811249	3811424	3808293	3808315	3824269	3824364	0.57783908045977	0.722355555555556	1.71261891066695e-07	0.322041351032708	0.144516475095785
PGAP2_SE_10515	PGAP2	chr11	+	3823882	3824135	3808293	3808315	3824269	3824376	0.480310344827586	0.721422222222222	2.76371730130371e-11	0.586876982266738	0.241111877394636
ARRDC4_SE_105253	ARRDC4	chr15	+	97968013	97968116	97965894	97966042	97969122	97969379	0.861850574712644	0.742911111111111	8.1271933527737e-09	-0.214248157033909	-0.118939463601533
IL18R1_SE_107812	IL18R1	chr2	+	102373936	102373993	102371952	102372118	102375906	102376063	0.445068965517241	0.289266666666667	1.39407358943249e-09	-0.621628820309844	-0.155802298850575
FANCD2_SE_115008	FANCD2	chr3	+	10064355	10064429	10063791	10063911	10064728	10064875	0.762885057471264	0.543555555555556	7.44592608968129e-16	-0.489038207838582	-0.219329501915709
TPCN2_SE_117367	TPCN2	chr11	+	69079833	69079883	69078891	69079020	69081399	69081499	0.948183908045977	0.838311111111111	1.30749411366988e-08	-0.177681157523293	-0.109872796934866
CPNE2_SE_117627	CPNE2	chr16	+	57137148	57137282	57134774	57134826	57146084	57146321	0.792528735632184	0.900911111111111	1.4792699961949e-09	0.184921523097873	0.108382375478927
ZBTB7B_SE_120220	ZBTB7B	chr1	+	155002842	155002943	155002629	155002686	155014654	155015814	0.695609195402299	0.841377777777778	2.41690416633751e-07	0.27447671051743	0.145768582375479
SNRK_SE_121571	SNRK	chr3	+	43299753	43299815	43286511	43286675	43303097	43303792	0.880701149425287	0.761777777777778	1.18051379221606e-12	-0.209282345892122	-0.11892337164751
FCGR1B_SE_124808	FCGR1B	chr1	+	121094673	121094958	121092995	121093250	121095871	121097161	0.208080459770115	0.385111111111111	4.42307428959366e-13	0.888133255798092	0.177030651340996
SAYSD1_SE_126283	SAYSD1	chr6	-	39109313	39113720	39104062	39105776	39114882	39115186	0.810954022988506	0.609022222222222	1.70971286397773e-08	-0.413125252545142	-0.201931800766283
