AS_ID	Gene_ID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
MEF2BNB-MEF2B_MXE_100127	MEF2BNB-MEF2B	chr19	-	19182572	19182683	19186892	19187005	19180685	19180761	19192080	19192591	0.175183908045977	0.283111111111111	1.89086775068568e-08	0.692498112358774	0.107927203065134
MEF2BNB-MEF2B_MXE_100129	MEF2BNB-MEF2B	chr19	-	19182572	19182683	19186892	19187005	19150681	19150764	19192080	19192591	0.289034482758621	0.442444444444444	2.86676361543995e-07	0.614254693275143	0.153409961685824
TBRG1_MXE_100180	TBRG1	chr11	+	124625670	124625903	124626472	124626609	124622845	124623233	124626903	124627050	0.552149425287356	0.362533333333333	1.11081356376412e-08	-0.606945098152583	-0.189616091954023
TBRG1_MXE_100182	TBRG1	chr11	+	124624930	124625001	124625670	124625903	124622845	124623233	124626903	124627050	0.296459770114943	0.505688888888889	9.27257381917493e-14	0.770413736685847	0.209229118773946
TMC8_MXE_100375	TMC8	chr17	+	78137234	78137358	78137716	78137814	78134869	78135009	78138004	78138188	0.762632183908046	0.642	1.97537497952752e-07	-0.248414118301801	-0.120632183908046
VAMP7_MXE_100420	VAMP7	chrX	+	155889457	155889612	155919812	155919880	155881279	155881448	155939700	155939793	0.311850574712644	0.450177777777778	1.55555518196038e-08	0.529639924807455	0.138327203065134
VAMP7_MXE_100426	VAMP7	chrX	+	155889457	155889547	155895622	155895680	155881279	155881448	155898111	155898249	0.197919540229885	0.390622222222222	4.21668544504554e-11	0.980859971432677	0.192702681992337
TXNDC15_MXE_100536	TXNDC15	chr5	+	134887694	134888182	134893491	134893655	134873769	134874530	134896293	134896424	0.0955632183908046	0.2348	8.07809095892459e-10	1.29690506144705	0.139236781609195
TXNDC15_MXE_100537	TXNDC15	chr5	+	134887694	134888182	134896293	134896424	134873769	134874530	134899488	134901633	0.0766781609195402	0.202777777777778	3.32954016549018e-10	1.40301191709361	0.126099616858238
YIPF1_MXE_100804	YIPF1	chr1	-	53888906	53888986	53889243	53889463	53878641	53878722	53889712	53889814	0.371609195402299	0.538066666666667	2.71814345061422e-11	0.533998732936138	0.166457471264368
YIPF1_MXE_100807	YIPF1	chr1	-	53883112	53883276	53889243	53889463	53878641	53878722	53889712	53889814	0.138666666666667	0.263688888888889	1.17412579553341e-10	0.927215753710381	0.125022222222222
MRPL22_MXE_101007	MRPL22	chr5	+	154941216	154941265	154950820	154950938	154941072	154941138	154956370	154956436	0.467172413793103	0.365377777777778	1.46495387686485e-07	-0.354566194456553	-0.101794636015326
ABCA7_MXE_101089	ABCA7	chr19	+	1056329	1056499	1057313	1057429	1056065	1056243	1057914	1058059	0.146	0.252	1.22559330463561e-08	0.787455364619899	0.106
