AS_ID	Gene_ID	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
KCNAB2_SE_101399	KCNAB2	chr1	+	6041830	6041872	6040516	6040645	6072754	6072798	0.490471264367816	0.34521359223301	9.61813034271825e-23	-0.506679345147657	-0.145257672134806
GPBP1_SE_102604	GPBP1	chr5	+	57221375	57221396	57214073	57214193	57230845	57230969	0.41932183908046	0.30952427184466	7.63891970137568e-14	-0.438005425315656	-0.1097975672358
DLEU2_SE_103299	DLEU2	chr13	-	50044650	50044768	50027206	50027406	50068096	50068163	0.828206896551724	0.698757281553398	1.2234512044067e-08	-0.24519980425237	-0.129449614998326
DLEU2_SE_103305	DLEU2	chr13	-	50049583	50049662	50027206	50027406	50068096	50068163	0.911988505747126	0.807126213592233	2.08155772014111e-10	-0.176221350282952	-0.104862292154893
PGAP2_SE_10504	PGAP2	chr11	+	3811249	3811424	3808293	3808315	3824269	3824364	0.57783908045977	0.723970873786408	2.37604335369609e-12	0.325263877459339	0.146131793326638
PGAP2_SE_10515	PGAP2	chr11	+	3823882	3824135	3808293	3808315	3824269	3824376	0.480310344827586	0.684961165048544	1.87939469808299e-15	0.512055313140025	0.204650820220957
ARRDC4_SE_105253	ARRDC4	chr15	+	97968013	97968116	97965894	97966042	97969122	97969379	0.861850574712644	0.720135922330097	2.47950729878767e-15	-0.25916852620517	-0.141714652382547
DCP2_SE_105354	DCP2	chr5	+	113003941	113004077	113001566	113001674	113007937	113008042	0.583149425287356	0.736339805825243	1.3859697742962e-09	0.336506089637921	0.153190380537886
IL18R1_SE_107812	IL18R1	chr2	+	102373936	102373993	102371952	102372118	102375906	102376063	0.445068965517241	0.294834951456311	4.94829891610251e-14	-0.594121345680177	-0.150234014060931
MED17_SE_110564	MED17	chr11	+	93797534	93797719	93796409	93796540	93801834	93801972	0.256942528735632	0.461592233009709	3.66426815030052e-08	0.845173245965795	0.204649704274077
NFE2_SE_110940	NFE2	chr12	-	54300146	54300276	54295134	54295304	54300800	54301037	0.290080459770115	0.176893203883495	1.3008142986598e-16	-0.713574495099819	-0.11318725588662
SPECC1L-ADORA2A_SE_111994	SPECC1L-ADORA2A	chr22	+	24433130	24433736	24369217	24369320	24440582	24442360	0.778287356321839	0.926912621359223	1.99012061479116e-11	0.252130424605884	0.148625265037384
EIF4H_SE_112452	EIF4H	chr7	+	74190246	74190306	74189821	74189918	74194740	74194878	0.482022988505747	0.331165048543689	6.79773232896877e-08	-0.541551535162141	-0.150857939962058
ARMT1_SE_114166	ARMT1	chr6	+	151454547	151454653	151452257	151452586	151458327	151458572	0.697333333333333	0.818864077669903	5.20682008002457e-08	0.231775554655605	0.12153074433657
FBXO42_SE_114877	FBXO42	chr1	-	16252287	16252404	16246839	16251785	16253095	16253152	0.773459770114942	0.878116504854369	9.86826865598676e-10	0.183086108377525	0.104656734739426
FANCD2_SE_115008	FANCD2	chr3	+	10064355	10064429	10063791	10063911	10064728	10064875	0.762885057471264	0.601864077669903	6.60030675397237e-18	-0.342027993267718	-0.161020979801361
SIN3B_SE_116473	SIN3B	chr19	+	16862883	16862979	16862351	16862559	16863679	16863796	0.593977011494253	0.438281553398058	8.57471417198979e-10	-0.438549136626351	-0.155695458096195
