AS_ID	Gene_ID	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
RSPRY1_A5SS_1097	RSPRY1	chr16	+	57186283	57187050	57186283	57186451	57204503	57205008	0.267494252873563	0.103925925925926	1.56322114778767e-06	-1.36395229379515	-0.163568326947637
PGS1_A5SS_10	PGS1	chr17	+	78419545	78419725	78419545	78419675	78424060	78424659	0.771149425287356	0.657703703703704	7.23012547087429e-09	-0.229572643123007	-0.113445721583653
TM2D2_A5SS_1166	TM2D2	chr8	-	38996212	38996522	38996418	38996522	38995317	38995794	0.16067816091954	0.548666666666667	6.05082143808744e-12	1.77175607604762	0.387988505747126
TXNRD1_A5SS_1387	TXNRD1	chr12	+	104286681	104287346	104286681	104287109	104311289	104311412	0.057735632183908	0.437444444444444	5.60557809965623e-15	2.92156593189363	0.379708812260536
TXNRD1_A5SS_1389	TXNRD1	chr12	+	104286681	104287431	104286681	104287109	104311289	104311412	0.0506551724137931	0.42162962962963	5.02644504053813e-15	3.05719475893431	0.370974457215837
TXNRD1_A5SS_1390	TXNRD1	chr12	+	104286681	104287346	104286681	104287109	104288930	104289040	0.0515632183908046	0.224777777777778	1.52298003877126e-14	2.12408519387843	0.173214559386973
TXNRD1_A5SS_1392	TXNRD1	chr12	+	104286681	104287431	104286681	104287109	104288930	104289040	0.0243103448275862	0.164407407407407	6.8726257225335e-15	2.75763303900304	0.140097062579821
UBE2D3_A5SS_1818	UBE2D3	chr4	-	102827426	102827948	102827591	102827948	102826484	102826636	0.80732183908046	0.655925925925926	1.20292801685612e-07	-0.299611019258305	-0.151395913154534
EIF1AD_A5SS_2056	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000406	0.561402298850575	0.755444444444444	2.20406994776202e-11	0.42829069170828	0.19404214559387
EIF1AD_A5SS_2060	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000481	0.454310344827586	0.568962962962963	9.5221812452171e-08	0.324656585848649	0.114652618135377
TRIM13_A5SS_2113	TRIM13	chr13	+	49997006	49997216	49997006	49997131	49997666	49997763	0.165183908045977	0.499444444444444	7.40247442140443e-13	1.59625106064202	0.334260536398467
ABCG1_A5SS_2168	ABCG1	chr21	+	42287888	42288073	42287888	42288037	42288210	42288312	0.786724137931034	0.591185185185185	2.47502230915659e-10	-0.412247731733638	-0.195538952745849
PIGA_A5SS_2341	PIGA	chrX	-	15331215	15331992	15331873	15331992	15325913	15326046	0.903931034482759	0.770888888888889	4.75798014392654e-13	-0.229689772193732	-0.13304214559387
PIGA_A5SS_2342	PIGA	chrX	-	15331589	15331992	15331873	15331992	15325913	15326046	0.89516091954023	0.730185185185185	1.30829084501497e-13	-0.293884655218651	-0.164975734355045
CKS1B_A5SS_2423	CKS1B	chr1	+	154974641	154974912	154974641	154974804	154977986	154978114	0.0515172413793103	0.165111111111111	8.53094912634657e-13	1.68030996143462	0.113593869731801
METTL5_A5SS_2646	METTL5	chr2	-	169824781	169824931	169824867	169824931	169824488	169824640	0.117011494252874	0.239407407407407	5.5657890552349e-10	1.032817535474	0.122395913154534
IFIT1_A5SS_2671	IFIT1	chr10	+	89393106	89393341	89393106	89393203	89402280	89406487	0.962459770114943	0.829148148148148	8.16241356854664e-10	-0.215096340233596	-0.133311621966794
ACAD9_A5SS_284	ACAD9	chr3	+	128879489	128880017	128879489	128879841	128884652	128884746	0.403149425287356	0.220037037037037	3.0671084833605e-10	-0.873568284204938	-0.183112388250319
MRPL11_A5SS_2995	MRPL11	chr11	-	66438709	66438848	66438781	66438848	66438163	66438259	0.577022988505747	0.822296296296296	2.30632848542648e-11	0.511029534097736	0.245273307790549
NHLRC3_A5SS_3018	NHLRC3	chr13	+	39038310	39038723	39038310	39038465	39039135	39039288	0.701908045977012	0.886074074074074	9.19323420421001e-12	0.336145268833931	0.184166028097063
CD40_A5SS_3084	CD40	chr20	+	46126639	46126741	46126639	46126701	46128137	46128224	0.230011494252874	0.0812962962962963	8.00198393124439e-12	-1.50044442558631	-0.148715197956577
RNF146_A5SS_3176	RNF146	chr6	+	127266837	127267044	127266837	127266925	127280230	127280340	0.0262068965517241	0.152222222222222	2.02519515263294e-13	2.5381605632022	0.126015325670498
MZF1_A5SS_3341	MZF1	chr19	-	58573054	58573575	58573372	58573575	58570993	58571429	0.563816091954023	0.79237037037037	3.96898886013847e-10	0.490950278928508	0.228554278416347
CASP8_A5SS_358	CASP8	chr2	+	201276826	201277104	201276826	201276968	201284815	201285317	0.799965517241379	0.424851851851852	2.05551443417295e-11	-0.912977960182302	-0.375113665389527
USF1_A5SS_3718	USF1	chr1	-	161042554	161042670	161042585	161042670	161042115	161042217	0.705632183908046	0.834703703703704	7.15188122083457e-15	0.24234780860203	0.129071519795658
C14orf159_A5SS_3799	C14orf159	chr14	+	91114012	91114528	91114012	91114283	91145220	91145313	0.179770114942529	0.373592592592593	2.24328795251293e-12	1.0553126437229	0.193822477650064
NDUFB8_A5SS_3910	NDUFB8	chr10	-	100529766	100529923	100529857	100529923	100529379	100529506	0.751137931034483	0.935259259259259	1.20529346879131e-10	0.31628849048221	0.184121328224776
COPS7A_A5SS_3975	COPS7A	chr12	+	6723983	6724250	6723983	6724179	6724613	6724818	0.0673563218390805	0.172074074074074	8.96197612731958e-13	1.35314448318446	0.104717752234994
SERPINA1_A5SS_4039	SERPINA1	chr14	-	94390419	94390692	94390456	94390692	94388559	94388663	0.130977011494253	0.25537037037037	1.83027034315224e-09	0.963277525933943	0.124393358876117
SERPINA1_A5SS_4042	SERPINA1	chr14	-	94390419	94390692	94390456	94390692	94379463	94379611	0.806954022988506	0.974481481481482	1.78412096870772e-10	0.272148292694493	0.167527458492976
PPP4R3A_A5SS_4105	PPP4R3A	chr14	-	91475810	91475966	91475849	91475966	91473238	91473370	0.794954022988506	0.573259259259259	8.32571982351604e-10	-0.471683670664148	-0.221694763729246
MORF4L1_A5SS_4280	MORF4L1	chr15	+	78872988	78873218	78872988	78873118	78878212	78878259	0.200310344827586	0.520074074074074	7.35332747382277e-09	1.37648019111331	0.319763729246488
APEX1_A5SS_4407	APEX1	chr14	+	20455130	20455389	20455130	20455338	20455577	20455703	0.762310344827586	0.642074074074074	1.5219636089538e-13	-0.247638707984219	-0.120236270753512
PDHX_A5SS_4444	PDHX	chr11	+	34916129	34916815	34916129	34916486	34931403	34931484	0.618632183908046	0.765851851851852	5.73907270212271e-06	0.307983450300979	0.147219667943806
IL32_A5SS_4523	IL32	chr16	+	3067376	3067613	3067376	3067415	3067983	3068010	0.577379310344828	0.688555555555556	2.69489561307584e-13	0.254053650401161	0.111176245210728
C6orf136_A5SS_4533	C6orf136	chr6	+	30647038	30647846	30647038	30647303	30649557	30649959	0.574850574712644	0.244259259259259	2.0528816882044e-09	-1.23477374187949	-0.330591315453384
AGER_A5SS_4555	AGER	chr6	-	32183275	32183388	32183323	32183388	32183113	32183201	0.379954022988506	0.154703703703704	3.41179356047433e-14	-1.29631711701701	-0.225250319284802
ACTL6A_A5SS_564	ACTL6A	chr3	+	179562879	179563117	179562879	179562973	179569823	179569900	0.197	0.431740740740741	4.76311587513966e-13	1.13196960787415	0.234740740740741
ACTL6A_A5SS_565	ACTL6A	chr3	+	179562879	179563165	179562879	179562973	179569823	179569900	0.0451264367816092	0.251407407407407	2.94773227304427e-14	2.47798238576175	0.206280970625798
THUMPD3_A5SS_636	THUMPD3	chr3	+	9363032	9363332	9363032	9363127	9365015	9365320	0.106379310344828	0.453333333333333	2.5701033728086e-13	2.09135465650734	0.346954022988506
UPP1_A5SS_940	UPP1	chr7	+	48101823	48101982	48101823	48101870	48106872	48107082	0.328252873563218	0.597111111111111	7.52743772887292e-14	0.863191774105205	0.268858237547893
RBBP5_A5SS_2455	RBBP5	chr1	-	205094872	205095064	205094986	205095064	205086141	205088815	0.525586206896552	0.674481481481481	7.80900888954296e-10	0.359851418064493	0.14889527458493
MORC2_A5SS_77	MORC2	chr22	-	30967065	30968497	30967821	30968497	30958640	30958694	0.170068965517241	0.0548888888888889	6.79194449915846e-12	-1.6315338591329	-0.115180076628352
ARFIP1_A5SS_2282	ARFIP1	chr4	+	152779936	152780226	152779936	152780091	152829624	152829726	0.588264367816092	0.846962962962963	1.59662437905201e-11	0.525834230616304	0.258698595146871
GABPB1_A5SS_3464	GABPB1	chr15	-	50301220	50301368	50301256	50301368	50300788	50300902	0.172655172413793	0.291740740740741	1.51964146989523e-05	0.756793313263947	0.119085568326948
CXorf65_A5SS_3215	CXorf65	chrX	-	71106339	71106426	71106358	71106426	71105999	71106137	0.501666666666667	0.314740740740741	1.79338792478591e-11	-0.67256514477609	-0.186925925925926
SLC9A6_A5SS_3314	SLC9A6	chrX	+	135994785	135994985	135994785	135994889	135998107	135998185	0.767459770114942	0.908703703703704	2.19751657378069e-06	0.243718831957175	0.141243933588761
ARL6IP4_A5SS_778	ARL6IP4	chr12	+	122981128	122981299	122981128	122981266	122981594	122981879	0.438666666666667	0.609481481481482	5.26838247815428e-14	0.47445730334738	0.170814814814815
NOP2_A5SS_3396	NOP2	chr12	-	6568138	6568332	6568206	6568332	6567815	6567922	0.163632183908046	0.282407407407407	9.41485817470972e-14	0.787321398400447	0.118775223499361
SSBP1_A5SS_2696	SSBP1	chr7	+	141738320	141738593	141738320	141738575	141739123	141739190	0.39632183908046	0.253037037037037	2.48282163931922e-07	-0.64732390067071	-0.143284802043423
ZNRD1_A5SS_1495	ZNRD1	chr6	+	30061239	30061398	30061239	30061389	30061514	30061669	0.586034482758621	0.742925925925926	6.6167259611033e-06	0.342232816246896	0.156891443167305
PIGG_A5SS_3525	PIGG	chr4	+	499199	499489	499199	499298	500395	500601	0.534551724137931	0.671740740740741	7.15199208724673e-06	0.329574977962931	0.13718901660281
ATP5J_A5SS_382	ATP5J	chr21	-	25734938	25735654	25734988	25735654	25729630	25729801	0.310494252873563	0.428518518518519	1.3974357535303e-07	0.464790987081253	0.118024265644955
ATAD2B_A5SS_288	ATAD2B	chr2	-	23786026	23786223	23786041	23786223	23782868	23783028	0.508183908045977	0.651740740740741	3.73204353620128e-06	0.358947489291061	0.143556832694764
USP8_A5SS_3633	USP8	chr15	+	50424376	50424654	50424376	50424514	50439008	50439177	0.239816091954023	0.347074074074074	6.80894600024850e-09	0.533315133373365	0.107257982120051
ZNF484_A5SS_3337	ZNF484	chr9	-	92877819	92878038	92877889	92878038	92856191	92856318	0.626609195402299	0.341888888888889	1.58533335269767e-07	-0.87403840409574	-0.28472030651341
PIGG_A5SS_3529	PIGG	chr4	+	499199	500047	499199	499298	500395	500601	0.12616091954023	0.292074074074074	2.83153890950256e-07	1.21106922262026	0.165913154533844
