AS_ID	Gene_ID	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
ORC2_RI_1090	ORC2	chr2	-	200913294	200913992	200913294	200913413	200913930	200913992	0.525988505747126	0.327592592592593	2.21604213146263e-13	-0.683128537484782	-0.198395913154534
C2CD5_RI_116	C2CD5	chr12	-	22544060	22544546	22544060	22544179	22544319	22544546	0.210816091954023	0.0381481481481481	1.11810670795903e-14	-2.4663000644338	-0.172667943805875
PPCS_RI_132	PPCS	chr1	+	42456493	42457350	42456493	42457073	42457246	42457350	0.457126436781609	0.329925925925926	1.1440786248317e-07	-0.470451105219524	-0.127200510855683
TREX1_RI_157	TREX1	chr3	+	48465519	48467645	48465519	48466309	48466629	48467645	0.600597701149425	0.290555555555556	4.77074723368643e-12	-1.04758491292207	-0.31004214559387
HMGN3_RI_173	HMGN3	chr6	-	79201244	79202389	79201244	79201726	79202316	79202389	0.597264367816092	0.348851851851852	2.31782197026469e-14	-0.775755162537564	-0.24841251596424
HMGN3_RI_174	HMGN3	chr6	-	79201244	79202389	79201244	79201726	79202275	79202389	0.549367816091954	0.326518518518519	2.70262393344949e-13	-0.750607578082642	-0.222849297573436
TRIM5_RI_186	TRIM5	chr11	-	5663194	5665682	5663194	5665395	5665655	5665682	0.316252873563218	0.155740740740741	5.00482937067478e-13	-1.02193219539811	-0.160512132822478
MCM7_RI_215	MCM7	chr7	-	100099022	100099403	100099022	100099203	100099278	100099403	0.385091954022989	0.222222222222222	6.29364103364895e-14	-0.793199886837607	-0.162869731800766
BICD2_RI_28	BICD2	chr9	-	92711362	92715463	92711362	92713461	92715252	92715463	0.894103448275862	0.64537037037037	2.52446430715216e-12	-0.470314417994931	-0.248733077905492
ZNRD1_RI_395	ZNRD1	chr6	+	30061239	30061669	30061239	30061398	30061514	30061669	0.64767816091954	0.489925925925926	2.71473559417778e-07	-0.402713460368925	-0.157752234993614
GPX1_RI_418	GPX1	chr3	-	49357175	49358358	49357175	49357747	49358026	49358358	0.203747126436782	0.0494814814814815	7.14767948020969e-14	-2.04181911179122	-0.1542656449553
CIRBP_RI_455	CIRBP	chr19	+	1271980	1273172	1271980	1272051	1272426	1273172	0.106770114942529	0.330777777777778	1.06416390176427e-12	1.63135442321665	0.224007662835249
ELMOD3_RI_553	ELMOD3	chr2	+	85390137	85391752	85390137	85390265	85390759	85391752	0.25816091954023	0.539481481481481	1.06238841200908e-14	1.0633028162075	0.281320561941252
NXF1_RI_563	NXF1	chr11	-	62798538	62800486	62798538	62798575	62800376	62800486	0.575137931034483	0.335518518518518	5.35755443818224e-15	-0.777515591984915	-0.239619412515964
PML_RI_583	PML	chr15	+	74034477	74036394	74034477	74034530	74035171	74036394	0.98816091954023	0.802	6.67434089581166e-17	-0.301143763549276	-0.18616091954023
SRSF8_RI_611	SRSF8	chr11	+	95066876	95071224	95066876	95068183	95068654	95071224	0.82035632183908	0.700592592592593	1.66891183157912e-10	-0.227674946055278	-0.119763729246488
NAP1L1_RI_622	NAP1L1	chr12	-	76045382	76048464	76045382	76047718	76048392	76048464	0.46348275862069	0.613407407407407	1.01891326947804e-13	0.404329916307586	0.149924648786718
SAMD9L_RI_627	SAMD9L	chr7	-	93145384	93146040	93145384	93145532	93145908	93146040	0.952609195402299	0.775777777777778	3.64300308039101e-14	-0.296241024565323	-0.176831417624521
QKI_RI_629	QKI	chr6	+	163563419	163578596	163563419	163563719	163564666	163578596	0.748804597701149	0.552111111111111	4.50774855266284e-10	-0.439630657841829	-0.196693486590038
PRKD2_RI_638	PRKD2	chr19	-	46716130	46717127	46716130	46716535	46716814	46717127	0.928632183908046	0.803296296296296	4.75849348631295e-13	-0.209175056929017	-0.12533588761175
FLAD1_RI_706	FLAD1	chr1	+	154983293	154984066	154983293	154983397	154983841	154984066	0.553919540229885	0.254407407407407	2.65199375634331e-12	-1.12253575513295	-0.299512132822478
HLTF_RI_822	HLTF	chr3	-	149030116	149032372	149030116	149031363	149032200	149032372	0.527183908045977	0.89062962962963	3.15779972497356e-14	0.756519274753971	0.363445721583653
NAPEPLD_RI_882	NAPEPLD	chr7	-	103099575	103103554	103099575	103103122	103103423	103103554	0.646448275862069	0.876407407407407	1.47819893600261e-08	0.439066737477243	0.229959131545338
BCL2L11_RI_90	BCL2L11	chr2	+	111123732	111124139	111123732	111123869	111124049	111124139	0.514655172413793	0.654592592592593	3.48957601824005e-10	0.346991150717797	0.1399374201788
THUMPD1_RI_998	THUMPD1	chr16	-	20733665	20737286	20733665	20736358	20736859	20737286	0.763390804597701	0.538814814814815	3.02817907914297e-11	-0.502632290198487	-0.224575989782886
CREBZF_RI_325	CREBZF	chr11	-	85663523	85665138	85663523	85663601	85663814	85665138	0.779873563218391	0.597481481481482	1.7224244512199e-12	-0.384346247938515	-0.182392081736909
UBE2V1_RI_653	UBE2V1	chr20	-	50096482	50096820	50096482	50096534	50096671	50096820	0.944597701149425	0.793592592592593	2.29096488593906e-09	-0.251301464785163	-0.151005108556833
MAF_RI_708	MAF	chr16	-	79593847	79600725	79593847	79594553	79598784	79600725	0.387896551724138	0.886777777777778	1.37928481366297e-14	1.19290066658784	0.49888122605364
ATP6V0B_RI_590	ATP6V0B	chr1	+	43977025	43978300	43977025	43977216	43977980	43978300	0.228620689655172	0.53537037037037	2.3147665766611e-14	1.22758132632857	0.306749680715198
QKI_RI_630	QKI	chr6	+	163563419	163578596	163563419	163563719	163565945	163578596	0.443666666666667	0.281666666666667	1.86596200454831e-10	-0.655487324742345	-0.162
EEF1B2_RI_16	EEF1B2	chr2	+	206159593	206160059	206159593	206159684	206159912	206160059	0.804045977011494	0.62762962962963	4.6718983241393e-12	-0.357364538260751	-0.176416347381865
NIPBL_RI_873	NIPBL	chr5	+	37063789	37065819	37063789	37063978	37064526	37065819	0.527379310344828	0.360925925925926	2.56367314836243e-08	-0.547138195634002	-0.166453384418902
ENOSF1_RI_633	ENOSF1	chr18	-	670323	674406	670323	673076	674160	674406	0.360459770114943	0.230555555555556	8.55580958735909e-07	-0.644723823474505	-0.129904214559387
DCAF7_RI_690	DCAF7	chr17	+	63588999	63594281	63588999	63589237	63594202	63594281	0.709827586206897	0.89937037037037	1.34528837420905e-10	0.341446712099458	0.189542784163474
CLK1_RI_112	CLK1	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466	0.455850574712644	0.294333333333333	2.48948216723074e-09	-0.631110057304633	-0.16151724137931
RANGRF_RI_33	RANGRF	chr17	+	8289257	8290091	8289257	8289414	8289502	8290091	0.494816091954023	0.349740740740741	3.48900597061417e-10	-0.500606556011281	-0.145075351213282
GMPPB_RI_511	GMPPB	chr3	-	49721475	49722147	49721475	49721883	49721964	49722147	0.797919540229885	0.581888888888889	1.78008344903774e-08	-0.45549957858666	-0.216030651340996
WTAP_RI_332	WTAP	chr6	+	159748190	159749421	159748190	159748369	159748589	159749421	0.747528735632184	0.923518518518519	1.65182108182867e-14	0.305011851828996	0.175989782886335
THTPA_RI_293	THTPA	chr14	+	23555981	23557039	23555981	23556343	23556742	23557039	0.745310344827586	0.641740740740741	3.66283909893075e-07	-0.215850709007075	-0.103569604086845
C15orf41_RI_851	C15orf41	chr15	+	36808323	36810260	36808323	36808489	36808903	36810260	0.621609195402299	0.836407407407407	9.40655358938858e-07	0.428197993261612	0.214798212005109
C18orf21_RI_762	C18orf21	chr18	+	35972624	35972907	35972624	35972805	35972884	35972907	0.728034482758621	0.520814814814815	3.79739126001591e-07	-0.483236296909187	-0.207219667943806
PLCD1_RI_519	PLCD1	chr3	-	38009903	38010275	38009903	38010053	38010130	38010275	0.726459770114943	0.486444444444444	4.7924040896333e-08	-0.57860785854845	-0.240015325670498
UBE2V1_RI_654	UBE2V1	chr20	-	50115484	50115959	50115484	50115621	50115698	50115959	0.814827586206897	0.949037037037037	3.70273643843452e-05	0.219969566877578	0.13420945083014
CUTA_RI_153	CUTA	chr6	-	33417480	33418288	33417480	33417695	33417958	33418288	0.506643678160919	0.254888888888889	2.11835740334741e-08	-0.991102973518543	-0.251754789272031
DUSP22_RI_970	DUSP22	chr6	+	348768	351355	348768	348841	350821	351355	0.611942528735632	0.847222222222222	4.30048747884946e-14	0.469344264040062	0.23527969348659
TRIM13_RI_588	TRIM13	chr13	+	49997006	49997763	49997006	49997131	49997666	49997763	0.487344827586207	0.737111111111111	1.40123992941234e-09	0.596939173084205	0.249766283524904
