AS_ID	Gene_ID	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
RSPRY1_A5SS_1097	RSPRY1	chr16	+	57186283	57187050	57186283	57186451	57204503	57205008	0.267494252873563	0.0811578947368421	8.20608916942852e-07	-1.72070454878013	-0.186336358136721
PGS1_A5SS_10	PGS1	chr17	+	78419545	78419725	78419545	78419675	78424060	78424659	0.771149425287356	0.655947368421053	1.5361930811707e-06	-0.233430376376494	-0.115202056866304
TM2D2_A5SS_1166	TM2D2	chr8	-	38996212	38996522	38996418	38996522	38995317	38995794	0.16067816091954	0.393894736842105	3.27310213331565e-07	1.29363628614435	0.233216575922565
EIF1AD_A5SS_2056	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000406	0.561402298850575	0.752947368421053	4.49633060427787e-09	0.423514051506589	0.191545069570478
EIF1AD_A5SS_2060	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000481	0.454310344827586	0.591263157894737	4.61688762493234e-08	0.380122227850658	0.136952813067151
ABCG1_A5SS_2168	ABCG1	chr21	+	42287888	42288073	42287888	42288037	42288210	42288312	0.786724137931034	0.632578947368421	1.5290889358666e-05	-0.31461230558929	-0.154145190562613
MRPL11_A5SS_2995	MRPL11	chr11	-	66438709	66438848	66438781	66438848	66438163	66438259	0.577022988505747	0.810947368421053	1.08025917410348e-06	0.490979487864309	0.233924379915306
MZF1_A5SS_3341	MZF1	chr19	-	58573054	58573575	58573372	58573575	58570993	58571429	0.563816091954023	0.735947368421053	1.13144182442259e-05	0.384377940384677	0.17213127646703
CASP8_A5SS_358	CASP8	chr2	+	201276826	201277104	201276826	201276968	201284815	201285317	0.799965517241379	0.562368421052632	1.36539653112415e-05	-0.508422229199829	-0.237597096188748
PPP4R3A_A5SS_4105	PPP4R3A	chr14	-	91475810	91475966	91475849	91475966	91473238	91473370	0.794954022988506	0.576842105263158	5.49393425276179e-07	-0.462694948377984	-0.218111917725348
PDHX_A5SS_4444	PDHX	chr11	+	34916129	34916815	34916129	34916486	34931403	34931484	0.618632183908046	0.788105263157895	1.06798807170945e-05	0.34930644530868	0.169473079249849
AGER_A5SS_4555	AGER	chr6	-	32183275	32183388	32183323	32183388	32183113	32183201	0.379954022988506	0.198842105263158	9.62972104292862e-08	-0.934201570071547	-0.181111917725348
ACTL6A_A5SS_564	ACTL6A	chr3	+	179562879	179563117	179562879	179562973	179569823	179569900	0.197	0.336631578947368	1.01386426240084e-06	0.772974890580371	0.139631578947368
TRIM5_A5SS_727	TRIM5	chr11	-	5684867	5685109	5685015	5685109	5679760	5680238	0.32583908045977	0.427	6.47956902615037e-09	0.390076421770395	0.10116091954023
RBBP5_A5SS_2455	RBBP5	chr1	-	205094872	205095064	205094986	205095064	205086141	205088815	0.525586206896552	0.639947368421053	1.47398645647444e-06	0.284025842435585	0.114361161524501
SSBP1_A5SS_2696	SSBP1	chr7	+	141738320	141738593	141738320	141738575	141739123	141739190	0.39632183908046	0.258736842105263	6.94205122658302e-07	-0.615186971198656	-0.137584996975197
ZNRD1_A5SS_1495	ZNRD1	chr6	+	30061239	30061398	30061239	30061389	30061514	30061669	0.586034482758621	0.728842105263158	1.4182452160763e-05	0.314620749621591	0.142807622504537
ATAD2B_A5SS_288	ATAD2B	chr2	-	23786026	23786223	23786041	23786223	23782868	23783028	0.508183908045977	0.668368421052632	4.83770046820685e-06	0.395292878526878	0.160184513006655
ZCCHC9_A5SS_2784	ZCCHC9	chr5	+	81301582	81301698	81301582	81301670	81304740	81305141	0.361471264367816	0.470105263157895	1.08851167527834e-05	0.379102869803522	0.108633998790079
