AS_ID	Gene_ID	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
RSPRY1_A5SS_1097	RSPRY1	chr16	+	57186283	57187050	57186283	57186451	57204503	57205008	0.267494252873563	0.0945217391304348	4.2788371511652e-10	-1.50078981628128	-0.172972513743128
PGS1_A5SS_10	PGS1	chr17	+	78419545	78419725	78419545	78419675	78424060	78424659	0.771149425287356	0.656978260869565	6.47215950219393e-12	-0.23116480444215	-0.114171164417791
TM2D2_A5SS_1166	TM2D2	chr8	-	38996212	38996522	38996418	38996522	38995317	38995794	0.16067816091954	0.484739130434783	5.40291658637433e-15	1.59303469449283	0.324060969515242
TXNRD1_A5SS_1387	TXNRD1	chr12	+	104286681	104287346	104286681	104287109	104311289	104311412	0.057735632183908	0.293913043478261	2.09383934931373e-12	2.34785551128943	0.236177411294353
TXNRD1_A5SS_1389	TXNRD1	chr12	+	104286681	104287431	104286681	104287109	104311289	104311412	0.0506551724137931	0.279065217391304	6.19020753342034e-13	2.46182082285892	0.228410044977511
TXNRD1_A5SS_1390	TXNRD1	chr12	+	104286681	104287346	104286681	104287109	104288930	104289040	0.0515632183908046	0.163217391304348	9.58715948618938e-14	1.66238056953632	0.111654172913543
UBE2D3_A5SS_1818	UBE2D3	chr4	-	102827426	102827948	102827591	102827948	102826484	102826636	0.80732183908046	0.665695652173913	1.29886565603611e-09	-0.278281173277468	-0.141626186906547
EIF1AD_A5SS_2056	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000406	0.561402298850575	0.754413043478261	4.66487729356255e-16	0.426319648344999	0.193010744627686
EIF1AD_A5SS_2060	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000481	0.454310344827586	0.578173913043478	4.26857931592695e-12	0.347825359998433	0.123863568215892
TRIM13_A5SS_2113	TRIM13	chr13	+	49997006	49997216	49997006	49997131	49997666	49997763	0.165183908045977	0.399608695652174	1.08283880456955e-12	1.274514828576	0.234424787606197
