AS_ID	Gene_ID	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
RSPRY1_A5SS_1097	RSPRY1	chr16	+	57186283	57187050	57186283	57186451	57204503	57205008	0.267494252873563	0.130902912621359	5.11314699458709e-10	-1.03101069752416	-0.136591340252204
TM2D2_A5SS_1166	TM2D2	chr8	-	38996212	38996522	38996418	38996522	38995317	38995794	0.16067816091954	0.349330097087379	8.47213385949733e-12	1.12041709188401	0.188651936167838
TXNRD1_A5SS_1387	TXNRD1	chr12	+	104286681	104287346	104286681	104287109	104311289	104311412	0.057735632183908	0.19178640776699	3.29327057893817e-12	1.73196660364855	0.134050775583082
TXNRD1_A5SS_1389	TXNRD1	chr12	+	104286681	104287431	104286681	104287109	104311289	104311412	0.0506551724137931	0.174456310679612	1.6563964655123e-10	1.7840842900211	0.123801138265819
UBE2D3_A5SS_1818	UBE2D3	chr4	-	102827426	102827948	102827591	102827948	102826484	102826636	0.80732183908046	0.648077669902913	4.06846804177226e-15	-0.316977193397566	-0.159244169177547
EIF1AD_A5SS_2056	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000406	0.561402298850575	0.709359223300971	1.0193248350154e-16	0.337481429528907	0.147956924450396
EIF1AD_A5SS_2060	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000481	0.454310344827586	0.557436893203883	1.0873933211592e-12	0.295130331904295	0.103126548376297
TRIM13_A5SS_2113	TRIM13	chr13	+	49997006	49997216	49997006	49997131	49997666	49997763	0.165183908045977	0.308805825242718	4.70184277133024e-11	0.902626818990427	0.143621917196741
ABCG1_A5SS_2168	ABCG1	chr21	+	42287888	42288073	42287888	42288037	42288210	42288312	0.786724137931034	0.675398058252427	9.28309609406588e-09	-0.220119816780947	-0.111326079678607
ACAD9_A5SS_284	ACAD9	chr3	+	128879489	128880017	128879489	128879841	128884652	128884746	0.403149425287356	0.281174757281553	3.98431635838078e-10	-0.519847584495649	-0.121974668005803
MRPL11_A5SS_2995	MRPL11	chr11	-	66438709	66438848	66438781	66438848	66438163	66438259	0.577022988505747	0.765601941747573	1.063603986477e-13	0.407965692083528	0.188578953241826
NHLRC3_A5SS_3018	NHLRC3	chr13	+	39038310	39038723	39038310	39038465	39039135	39039288	0.701908045977012	0.808398058252427	3.93322787155289e-11	0.203783814916932	0.106490012275416
MZF1_A5SS_3341	MZF1	chr19	-	58573054	58573575	58573372	58573575	58570993	58571429	0.563816091954023	0.717834951456311	1.93135772976916e-11	0.348427515174349	0.154018859502288
CASP8_A5SS_358	CASP8	chr2	+	201276826	201277104	201276826	201276968	201284815	201285317	0.799965517241379	0.614718446601942	4.70184277133024e-11	-0.38001203510904	-0.185247070639438
C14orf159_A5SS_3799	C14orf159	chr14	+	91114012	91114528	91114012	91114283	91145220	91145313	0.179770114942529	0.280669902912621	3.47286764318772e-09	0.642721160995949	0.100899787970093
NDUFB8_A5SS_3910	NDUFB8	chr10	-	100529766	100529923	100529857	100529923	100529379	100529506	0.751137931034483	0.881184466019417	2.53688369469283e-10	0.230366209337739	0.130046534984935
PPP4R3A_A5SS_4105	PPP4R3A	chr14	-	91475810	91475966	91475849	91475966	91473238	91473370	0.794954022988506	0.64578640776699	3.06810462556964e-12	-0.299814346957375	-0.149167615221515
MORF4L1_A5SS_4280	MORF4L1	chr15	+	78872988	78873218	78872988	78873118	78878212	78878259	0.200310344827586	0.405815533980583	9.06516423747731e-10	1.0185871606311	0.205505189152996
PDHX_A5SS_4444	PDHX	chr11	+	34916129	34916815	34916129	34916486	34931403	34931484	0.618632183908046	0.79326213592233	4.96986731717829e-15	0.358715797165154	0.174629952014284
C6orf136_A5SS_4533	C6orf136	chr6	+	30647038	30647846	30647038	30647303	30649557	30649959	0.574850574712644	0.282407766990291	1.8570215506035e-16	-1.02540722684404	-0.292442807722352
ACTL6A_A5SS_564	ACTL6A	chr3	+	179562879	179563117	179562879	179562973	179569823	179569900	0.197	0.351592233009709	1.37758582210552e-15	0.835707570713933	0.154592233009709
ACTL6A_A5SS_565	ACTL6A	chr3	+	179562879	179563165	179562879	179562973	179569823	179569900	0.0451264367816092	0.158029126213592	1.1423196758251e-16	1.80814571296038	0.112902689431983
THUMPD3_A5SS_636	THUMPD3	chr3	+	9363032	9363332	9363032	9363127	9365015	9365320	0.106379310344828	0.254300970873786	4.54612388276183e-12	1.25731938084526	0.147921660528959
TRIM5_A5SS_727	TRIM5	chr11	-	5684867	5685109	5685015	5685109	5679760	5680238	0.32583908045977	0.433912621359223	3.81251813278355e-19	0.413244902835072	0.108073540899453
UPP1_A5SS_940	UPP1	chr7	+	48101823	48101982	48101823	48101870	48106872	48107082	0.328252873563218	0.448184466019417	1.5105007308471e-11	0.449285005513197	0.119931592456199
RBBP5_A5SS_2455	RBBP5	chr1	-	205094872	205095064	205094986	205095064	205086141	205088815	0.525586206896552	0.629349514563107	7.83688602809097e-13	0.259934037416859	0.103763307666555
ARFIP1_A5SS_2282	ARFIP1	chr4	+	152779936	152780226	152779936	152780091	152829624	152829726	0.588264367816092	0.708669902912621	2.83741529366518e-10	0.268649126951352	0.120405535096529
