AS_ID	Gene_ID	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
CHD1_SE_1008	CHD1	chr5	-	98876397	98876558	98875071	98875113	98879551	98879728	0.63616091954023	0.89637037037037	2.03062590399885e-09	0.494703213818481	0.26020945083014
USP33_SE_101074	USP33	chr1	-	77701368	77701471	77697862	77697931	77711746	77711855	0.828770114942529	0.959296296296296	2.76957621650182e-12	0.211004505895875	0.130526181353768
KCNAB2_SE_101399	KCNAB2	chr1	+	6041830	6041872	6040516	6040645	6072754	6072798	0.490471264367816	0.353555555555556	5.76908156354773e-12	-0.472231685478404	-0.136915708812261
HCFC2_SE_10214	HCFC2	chr12	+	104079444	104079653	104067946	104068107	104080745	104080830	0.842850574712644	0.959814814814815	4.84789969133803e-08	0.187479196583009	0.116964240102171
AKNA_SE_103137	AKNA	chr9	-	114343707	114343803	114342008	114342125	114345862	114346009	0.788597701149425	0.95137037037037	1.42989247727738e-09	0.270717589642656	0.162772669220945
DLEU2_SE_103305	DLEU2	chr13	-	50049583	50049662	50027206	50027406	50068096	50068163	0.911988505747126	0.727333333333333	1.38038784359132e-07	-0.326398945660844	-0.184655172413793
RALGPS2_SE_103667	RALGPS2	chr1	+	178892229	178892307	178889641	178889696	178893918	178894024	0.119701149425287	0.233259259259259	1.3299037741575e-08	0.96249734443042	0.113558109833972
GDAP1_SE_104656	GDAP1	chr8	+	74351273	74351466	74350382	74350578	74360136	74360310	0.758137931034483	0.970111111111111	1.4373572667267e-10	0.355689647504714	0.211973180076628
PGAP2_SE_10504	PGAP2	chr11	+	3811249	3811424	3808293	3808315	3824269	3824364	0.57783908045977	0.801888888888889	4.05566269766166e-12	0.472734568537932	0.224049808429119
PGAP2_SE_10515	PGAP2	chr11	+	3823882	3824135	3808293	3808315	3824269	3824376	0.480310344827586	0.64437037037037	2.66742111116125e-07	0.423923275752526	0.164060025542784
ARRDC4_SE_105253	ARRDC4	chr15	+	97968013	97968116	97965894	97966042	97969122	97969379	0.861850574712644	0.702407407407407	1.71254541137154e-08	-0.295129701245116	-0.159443167305236
DCP2_SE_105354	DCP2	chr5	+	113003941	113004077	113001566	113001674	113007937	113008042	0.583149425287356	0.836296296296296	2.44136222206484e-09	0.520148569028167	0.25314687100894
IL18R1_SE_107812	IL18R1	chr2	+	102373936	102373993	102371952	102372118	102375906	102376063	0.445068965517241	0.257555555555556	5.12301760238401e-10	-0.789145245953908	-0.187513409961686
RCC2_SE_108024	RCC2	chr1	-	17438229	17438522	17429105	17429199	17439544	17439754	0.740977011494253	0.964148148148148	7.85745819115943e-10	0.379826059526714	0.223171136653895
DPF2_SE_108496	DPF2	chr11	+	65343990	65344069	65343744	65343837	65345665	65345803	0.710091954022989	0.914444444444444	7.18351473993114e-10	0.364889664230949	0.204352490421456
PILRA_SE_109413	PILRA	chr7	+	100389887	100390106	100374043	100374433	100397878	100397912	0.616264367816092	0.734962962962963	6.63331055830043e-12	0.254122172544442	0.118698595146871
PCNX_SE_110255	PCNX	chr14	+	70988566	70988699	70976941	70978648	71009633	71009724	0.184413793103448	0.296703703703704	1.2128193156972e-11	0.686076370665264	0.112289910600255
MED17_SE_110564	MED17	chr11	+	93797534	93797719	93796409	93796540	93801834	93801972	0.256942528735632	0.643333333333333	3.31134899654617e-09	1.32412073897266	0.386390804597701
NFE2_SE_110940	NFE2	chr12	-	54300146	54300276	54295134	54295304	54300800	54301037	0.290080459770115	0.11562962962963	5.54786860319797e-14	-1.32694198679157	-0.174450830140485
PLEKHM1_SE_111044	PLEKHM1	chr17	-	45468208	45468593	45458168	45458439	45475099	45475726	0.748712643678161	0.870851851851852	6.79326647170589e-12	0.218015192585682	0.122139208173691
GK_SE_111658	GK	chrX	+	30694399	30694537	30691122	30691199	30696041	30696151	0.856586206896552	0.972814814814815	5.62963871037155e-09	0.183566752934653	0.116228607918263
SPECC1L-ADORA2A_SE_111994	SPECC1L-ADORA2A	chr22	+	24433130	24433736	24369217	24369320	24440582	24442360	0.778287356321839	0.981888888888889	2.02342083462627e-09	0.335256857585113	0.20360153256705
ABHD5_SE_112007	ABHD5	chr3	+	43717670	43717857	43714946	43715058	43718442	43722725	0.835126436781609	0.953037037037037	5.25009969887291e-13	0.190537645607564	0.117910600255428
EIF4H_SE_112452	EIF4H	chr7	+	74190246	74190306	74189821	74189918	74194740	74194878	0.482022988505747	0.172925925925926	8.28864311672551e-11	-1.47894777140097	-0.309097062579821
VPS50_SE_112522	VPS50	chr7	+	93323610	93323732	93311165	93311272	93334116	93334197	0.871218390804598	0.973814814814815	4.00909585707341e-09	0.160613040096442	0.102596424010217
HERC1_SE_112805	HERC1	chr15	-	63623724	63623890	63622814	63622891	63624157	63624327	0.774149425287356	0.940037037037037	2.59367672440766e-09	0.280105539130358	0.165887611749681
CD4_SE_11325	CD4	chr12	+	6800071	6800187	6789471	6789662	6814141	6814300	0.769114942528736	0.906962962962963	5.68015241048831e-11	0.23784441570295	0.137848020434227
C20orf24_SE_113508	C20orf24	chr20	+	36607889	36608000	36607714	36607818	36609600	36609730	0.25664367816092	0.114555555555556	1.15408961931928e-10	-1.16371929729154	-0.142088122605364
ARMT1_SE_114166	ARMT1	chr6	+	151454547	151454653	151452257	151452586	151458327	151458572	0.697333333333333	0.922481481481481	1.46843902795679e-10	0.403671504074555	0.225148148148148
FCRL6_SE_114664	FCRL6	chr1	+	159808960	159809245	159808177	159808444	159809401	159809683	0.756666666666667	0.927	5.93935776048088e-11	0.29291144716841	0.170333333333333
FBXO42_SE_114877	FBXO42	chr1	-	16252287	16252404	16246839	16251785	16253095	16253152	0.773459770114942	0.955555555555556	9.09681735388248e-11	0.305013498385788	0.182095785440613
HSD17B4_SE_115378	HSD17B4	chr5	+	119471635	119471700	119456314	119456368	119473907	119474015	0.207206896551724	0.0939259259259259	4.78971947869291e-08	-1.14147668343035	-0.113280970625798
SIN3B_SE_116473	SIN3B	chr19	+	16862883	16862979	16862351	16862559	16863679	16863796	0.593977011494253	0.379555555555556	1.70565996436555e-07	-0.646096027529952	-0.214421455938697
CPNE2_SE_117627	CPNE2	chr16	+	57137148	57137282	57134774	57134826	57146084	57146321	0.792528735632184	0.914	3.41410505682287e-08	0.205730919618093	0.121471264367816
SAFB_SE_118018	SAFB	chr19	+	5648988	5649499	5648015	5648043	5649925	5649975	0.703655172413793	0.894222222222222	1.30869141743567e-14	0.345764792061789	0.190567049808429
ZNF821_SE_118092	ZNF821	chr16	-	71861775	71861942	71859679	71860672	71864137	71864242	0.371528735632184	0.844851851851852	5.9418331435914e-13	1.18522458190683	0.473323116219668
NAA20_SE_11901	NAA20	chr20	+	20032507	20032653	20026783	20026919	20033101	20033629	0.729080459770115	0.951518518518519	9.67372069896161e-13	0.384153698505355	0.222438058748404
ZBTB7B_SE_120218	ZBTB7B	chr1	+	155014014	155014093	155002629	155002686	155014654	155015814	0.585298850574713	0.81562962962963	1.79715391153134e-07	0.478740740066712	0.230330779054917
ZBTB7B_SE_120220	ZBTB7B	chr1	+	155002842	155002943	155002629	155002686	155014654	155015814	0.695609195402299	0.883	1.22805429017548e-08	0.344136433818069	0.187390804597701
ITIH4_SE_121003	ITIH4	chr3	-	52818051	52818168	52816883	52817058	52818256	52818283	0.806241379310345	0.925962962962963	1.48960171100954e-09	0.199742659574292	0.119721583652618
CSE1L_SE_121286	CSE1L	chr20	+	49085282	49085386	49084025	49084162	49089246	49089397	0.820988505747126	0.940888888888889	1.33039787840311e-08	0.196662339103796	0.119900383141762
CSE1L_SE_121301	CSE1L	chr20	+	49092045	49092127	49090936	49091022	49094139	49094286	0.847379310344828	0.995148148148148	1.59839253195402e-12	0.231903412079807	0.147768837803321
SNRK_SE_121571	SNRK	chr3	+	43299753	43299815	43286511	43286675	43303097	43303792	0.880701149425287	0.767851851851852	1.00386346043844e-09	-0.197824562341079	-0.112849297573435
FUBP1_SE_123193	FUBP1	chr1	-	77969021	77969084	77968164	77968203	77969924	77970015	0.265574712643678	0.104592592592593	4.75850022599111e-09	-1.34433710209746	-0.160982120051086
GOLGA4_SE_123571	GOLGA4	chr3	+	37361242	37361305	37355100	37355187	37366079	37366879	0.224229885057471	0.102666666666667	2.58055732067127e-10	-1.12701072121339	-0.121563218390805
FCGR1B_SE_124808	FCGR1B	chr1	+	121094673	121094958	121092995	121093250	121095871	121097161	0.208080459770115	0.514148148148148	2.25837709189586e-14	1.30504262953661	0.306067688378033
