AS_ID	Gene_ID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
CAPN2_MXE_100015	CAPN2	chr1	+	223717761	223717831	223744099	223744218	223712416	223712877	223745305	223745439	0.109701149425287	0.227521739130435	1.32401512329315e-15	1.0524257557112	0.117820589705147
MEF2BNB-MEF2B_MXE_100127	MEF2BNB-MEF2B	chr19	-	19182572	19182683	19186892	19187005	19180685	19180761	19192080	19192591	0.175183908045977	0.29045652173913	3.14839893781422e-11	0.729451964963747	0.115272613693153
MEF2BNB-MEF2B_MXE_100129	MEF2BNB-MEF2B	chr19	-	19182572	19182683	19186892	19187005	19150681	19150764	19192080	19192591	0.289034482758621	0.488891304347826	1.69022652655107e-12	0.758272123888979	0.199856821589205
MEF2BNB-MEF2B_MXE_100135	MEF2BNB-MEF2B	chr19	-	19150681	19150764	19182572	19182683	19149225	19149429	19186033	19186098	0.27935632183908	0.495565217391304	6.51341078709894e-15	0.826968462631223	0.216208895552224
TBRG1_MXE_100180	TBRG1	chr11	+	124625670	124625903	124626472	124626609	124622845	124623233	124626903	124627050	0.552149425287356	0.377565217391304	2.65593402479603e-10	-0.548332884010693	-0.174584207896052
TBRG1_MXE_100182	TBRG1	chr11	+	124624930	124625001	124625670	124625903	124622845	124623233	124626903	124627050	0.296459770114943	0.466369565217391	2.29839289905702e-14	0.653637299959351	0.169909795102449
GNPTG_MXE_100296	GNPTG	chr16	+	1352238	1352306	1361742	1361797	1352101	1352159	1361871	1361955	0.0555977011494253	0.205108695652174	1.2615546479793e-13	1.88329151983366	0.149510994502749
DHX36_MXE_100309	DHX36	chr3	-	154280578	154280669	154280762	154280862	154277597	154277718	154283187	154283271	0.794218390804598	0.601717391304348	2.17620982182678e-10	-0.400449712818724	-0.19250099950025
TMC8_MXE_100375	TMC8	chr17	+	78137234	78137358	78137716	78137814	78134869	78135009	78138004	78138188	0.762632183908046	0.503717391304348	9.61227415409205e-13	-0.598372873425569	-0.258914792603698
TMC8_MXE_100380	TMC8	chr17	+	78131280	78131737	78133405	78133542	78130777	78130851	78133852	78134000	0.888873563218391	0.746282608695652	3.9001245775501e-16	-0.252256153101322	-0.142590954522739
VAMP7_MXE_100420	VAMP7	chrX	+	155889457	155889612	155919812	155919880	155881279	155881448	155939700	155939793	0.311850574712644	0.556913043478261	2.3021620010452e-13	0.836597164759992	0.245062468765617
VAMP7_MXE_100426	VAMP7	chrX	+	155889457	155889547	155895622	155895680	155881279	155881448	155898111	155898249	0.197919540229885	0.343413043478261	2.91161738143426e-10	0.795030782644497	0.145493503248376
SELL_MXE_100452	SELL	chr1	-	169703254	169703440	169707341	169707449	169701559	169701688	169708416	169708803	0.544528735632184	0.443478260869565	4.37405048681809e-15	-0.296144798308068	-0.101050474762619
PIGB_MXE_100484	PIGB	chr15	+	55329723	55329854	55339266	55339318	55321272	55321390	55340611	55340823	0.153781609195402	0.0476086956521739	1.18395485179574e-07	-1.69158597247757	-0.106172913543228
TXNDC15_MXE_100536	TXNDC15	chr5	+	134887694	134888182	134893491	134893655	134873769	134874530	134896293	134896424	0.0955632183908046	0.329673913043478	4.28656059045409e-15	1.78651238467888	0.234110694652674
