AS_ID	Gene_ID	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
CDKAL1_SE_104278	CDKAL1	chr6	+	21065047	21065228	21000226	21000372	21198020	21198104	1	0.857	1.01920334523524e-07	-0.222632890549587	-0.143
DHX30_SE_112080	DHX30	chr3	+	47848919	47849079	47848468	47848550	47849191	47849349	1	0.666666666666667	1.01920334523524e-07	-0.584962500721156	-0.333333333333333
TPCN2_SE_117363	TPCN2	chr11	+	69081399	69081499	69079833	69079883	69087111	69087206	1	0.845	1.01920334523524e-07	-0.24297675349254	-0.155
POLA2_SE_123148	POLA2	chr11	+	65289049	65289088	65282478	65282521	65289798	65289872	1	0.869666666666667	1.01920334523524e-07	-0.201465556565791	-0.130333333333333
SPTAN1_SE_127659	SPTAN1	chr9	+	128627385	128627498	128625102	128625179	128627924	128627942	0.997655172413793	0.879333333333333	2.806389071521e-07	-0.182131092665722	-0.11832183908046
ASB16-AS1_SE_133891	ASB16-AS1	chr17	-	44181622	44181720	44175973	44177816	44186564	44186717	1	0.692333333333333	1.01920334523524e-07	-0.530461284538596	-0.307666666666667
MAPKBP1_SE_153945	MAPKBP1	chr15	+	41818822	41818957	41818518	41818582	41819245	41819379	1	0.884	1.01920334523524e-07	-0.177881725270655	-0.116
GTF3C1_SE_156407	GTF3C1	chr16	-	27464394	27464836	27463540	27463592	27465259	27465540	1	0.666666666666667	1.01920334523524e-07	-0.584962500721156	-0.333333333333333
CROT_SE_15730	CROT	chr7	+	87375631	87375725	87369375	87369484	87377348	87377450	1	0.865333333333333	1.01920334523524e-07	-0.208672117384105	-0.134666666666667
ALAD_SE_163842	ALAD	chr9	-	113389772	113389828	113389598	113389686	113390404	113390493	0.998804597701149	0.880666666666667	7.36236416110803e-08	-0.181606401549801	-0.118137931034483
AHCTF1_SE_175319	AHCTF1	chr1	-	246867660	246867811	246867243	246867351	246876036	246876187	0.996494252873563	0.818333333333333	1.47063452267028e-07	-0.284172865861702	-0.17816091954023
CHIT1_SE_178572	CHIT1	chr1	-	203219663	203219849	203219215	203219329	203222201	203222325	0.995183908045977	0.818	3.52879576422236e-09	-0.282862314357396	-0.177183908045977
MED15_SE_184344	MED15	chr22	+	20575112	20575232	20568520	20568631	20582839	20582967	0.996586206896552	0.874333333333333	6.00200332678097e-08	-0.188811204983981	-0.122252873563218
IL1B_SE_204145	IL1B	chr2	-	112836182	112836244	112832661	112832826	112836707	112836779	1	0.865	5.65500745999661e-21	-0.209227962138	-0.135
VARS2_SE_211706	VARS2	chr6	+	30921229	30921305	30920332	30920436	30921588	30921691	1	0.854	1.01920334523524e-07	-0.227692025041597	-0.146
ECI2_SE_242687	ECI2	chr6	-	4119185	4119275	4117307	4117451	4126134	4126237	0.998425287356322	0.773	8.06248159577371e-10	-0.369186059995517	-0.225425287356322
ECI2_SE_242691	ECI2	chr6	-	4125249	4125370	4117307	4117451	4126134	4126237	0.99935632183908	0.850666666666667	8.06248159577371e-10	-0.232405241329533	-0.148689655172414
MEI1_SE_251505	MEI1	chr22	+	41784607	41784783	41784338	41784420	41795734	41795847	1	0.889	1.01920334523524e-07	-0.169744675832317	-0.111
ATP8B4_SE_266643	ATP8B4	chr15	-	49981205	49981294	49972581	49972790	49987390	49987549	0.998919540229885	0.898	5.10081227151243e-10	-0.153653033265383	-0.100919540229885
CCHCR1_SE_277030	CCHCR1	chr6	-	31142962	31143134	31142438	31142716	31144686	31144788	1	0.703666666666667	1.01920334523524e-07	-0.507035922036087	-0.296333333333333
ALS2_SE_279827	ALS2	chr2	-	201738669	201738735	201733275	201733438	201746565	201746748	1	0.843	1.01920334523524e-07	-0.246395463720005	-0.157
IQCE_SE_29166	IQCE	chr7	+	2598464	2598632	2594885	2594976	2601440	2601464	0.997701149425287	0.647	8.06248159577371e-10	-0.624842024377968	-0.350701149425287
GBA2_SE_48012	GBA2	chr9	-	35744296	35744412	35740824	35741064	35748345	35749228	1	0.839333333333333	1.01920334523524e-07	-0.252684217664227	-0.160666666666667
SERAC1_SE_60374	SERAC1	chr6	-	158120424	158120575	158119028	158119170	158143055	158143184	1	0.833333333333333	1.01920334523524e-07	-0.263034405833794	-0.166666666666667
ACCS_SE_73425	ACCS	chr11	+	44083423	44083577	44081178	44081320	44083694	44084019	1	0.833333333333333	1.01920334523524e-07	-0.263034405833794	-0.166666666666667
UBR1_SE_77387	UBR1	chr15	-	42984886	42984942	42970519	42970607	42988818	42988967	1	0.893333333333333	1.01920334523524e-07	-0.162729500038108	-0.106666666666667
RBM10_SE_88917	RBM10	chrX	+	47179102	47179163	47176499	47176586	47179879	47180040	1	0.867666666666667	1.01920334523524e-07	-0.204787188979131	-0.132333333333333
NCAPH_SE_96353	NCAPH	chr2	+	96360587	96360710	96360142	96360249	96364480	96364591	1	0.871	2.64868296831984e-14	-0.199255376063222	-0.129
PLD1_SE_99618	PLD1	chr3	-	171734864	171734970	171733443	171733509	171737531	171737659	1	0.892666666666667	1.01920334523524e-07	-0.163806540058933	-0.107333333333333
