AS_ID	Gene_ID	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
CHD1_SE_1008	CHD1	chr5	-	98876397	98876558	98875071	98875113	98879551	98879728	0.63616091954023	0.86845652173913	5.68386746743862e-11	0.449061876541186	0.232295602198901
KCNAB2_SE_101399	KCNAB2	chr1	+	6041830	6041872	6040516	6040645	6072754	6072798	0.490471264367816	0.352630434782609	6.35815405122421e-16	-0.476011618620997	-0.137840829585207
HCFC2_SE_10214	HCFC2	chr12	+	104079444	104079653	104067946	104068107	104080745	104080830	0.842850574712644	0.947978260869565	7.59393672009684e-10	0.169577090727867	0.105127686156922
GPBP1_SE_102604	GPBP1	chr5	+	57221375	57221396	57214073	57214193	57230845	57230969	0.41932183908046	0.30395652173913	1.86552474928792e-10	-0.464192996638777	-0.115365317341329
USP9X_SE_102893	USP9X	chrX	+	41219101	41219231	41218371	41218597	41223216	41223402	0.778862068965517	0.898760869565217	3.71238325166831e-10	0.206569453844902	0.1198988005997
UTP18_SE_103070	UTP18	chr17	+	51277129	51277304	51275865	51275991	51280004	51280105	0.749620689655172	0.907021739130435	1.46308059739802e-09	0.274976356931147	0.157401049475262
AKNA_SE_103137	AKNA	chr9	-	114343707	114343803	114342008	114342125	114345862	114346009	0.788597701149425	0.93895652173913	9.0089189493705e-12	0.2517688507832	0.150358820589705
RALGPS2_SE_103667	RALGPS2	chr1	+	178892229	178892307	178889641	178889696	178893918	178894024	0.119701149425287	0.241413043478261	1.01058678043878e-11	1.01206662083581	0.121711894052974
ARAP1_SE_103834	ARAP1	chr11	-	72686041	72686191	72685068	72685681	72687687	72687738	0.834862068965517	0.944173913043478	2.87121576274584e-09	0.177514759070989	0.109311844077961
GDAP1_SE_104656	GDAP1	chr8	+	74351273	74351466	74350382	74350578	74360136	74360310	0.758137931034483	0.922847826086956	8.41303170574025e-10	0.283632425349852	0.164709895052474
PGAP2_SE_10504	PGAP2	chr11	+	3811249	3811424	3808293	3808315	3824269	3824364	0.57783908045977	0.753021739130435	6.57912029241671e-12	0.382023735270226	0.175182658670665
PGAP2_SE_10515	PGAP2	chr11	+	3823882	3824135	3808293	3808315	3824269	3824376	0.480310344827586	0.643565217391304	2.14295393675769e-09	0.422119473804021	0.163254872563718
ARRDC4_SE_105253	ARRDC4	chr15	+	97968013	97968116	97965894	97966042	97969122	97969379	0.861850574712644	0.713260869565217	8.56412530012428e-11	-0.273007932914478	-0.148589705147426
DCP2_SE_105354	DCP2	chr5	+	113003941	113004077	113001566	113001674	113007937	113008042	0.583149425287356	0.828391304347826	3.10657519828663e-12	0.506446804924161	0.24524187906047
IL18R1_SE_107812	IL18R1	chr2	+	102373936	102373993	102371952	102372118	102375906	102376063	0.445068965517241	0.269391304347826	1.83996720457062e-12	-0.724325622785512	-0.175677661169415
RCC2_SE_108024	RCC2	chr1	-	17438229	17438522	17429105	17429199	17439544	17439754	0.740977011494253	0.94904347826087	4.37904872389493e-12	0.357045398333284	0.208066466766617
DPF2_SE_108496	DPF2	chr11	+	65343990	65344069	65343744	65343837	65345665	65345803	0.710091954022989	0.886239130434783	2.81595858835033e-11	0.319690168201729	0.176147176411794
MED17_SE_110564	MED17	chr11	+	93797534	93797719	93796409	93796540	93801834	93801972	0.256942528735632	0.612391304347826	5.08825909056097e-11	1.25300809474365	0.355448775612194
NFE2_SE_110940	NFE2	chr12	-	54300146	54300276	54295134	54295304	54300800	54301037	0.290080459770115	0.141413043478261	1.46190512195084e-16	-1.03653792105787	-0.148667416291854
GART_SE_111121	GART	chr21	-	33505973	33506104	33505560	33505702	33509782	33509920	0.835632183908046	0.937804347826087	8.703633904789e-09	0.166418909591614	0.102172163918041
GK_SE_111658	GK	chrX	+	30694399	30694537	30691122	30691199	30696041	30696151	0.856586206896552	0.962608695652174	2.78124237854894e-11	0.168351009290168	0.106022488755622
SPECC1L-ADORA2A_SE_111994	SPECC1L-ADORA2A	chr22	+	24433130	24433736	24369217	24369320	24440582	24442360	0.778287356321839	0.977565217391304	1.73413027713052e-12	0.328890033752109	0.199277861069465
ABHD5_SE_112007	ABHD5	chr3	+	43717670	43717857	43714946	43715058	43718442	43722725	0.835126436781609	0.937782608695652	1.31943406464627e-14	0.167258888532765	0.102656171914043
EIF4H_SE_112452	EIF4H	chr7	+	74190246	74190306	74189821	74189918	74194740	74194878	0.482022988505747	0.209369565217391	1.63312308542578e-12	-1.20305021101462	-0.272653423288356
HERC1_SE_112805	HERC1	chr15	-	63623724	63623890	63622814	63622891	63624157	63624327	0.774149425287356	0.923391304347826	4.26668637520735e-11	0.25433008615657	0.14924187906047
HERC1_SE_112829	HERC1	chr15	-	63632708	63632811	63630465	63630635	63633847	63633970	0.825045977011494	0.935804347826087	5.22864225883565e-08	0.181732413501156	0.110758370814593
CD4_SE_11325	CD4	chr12	+	6800071	6800187	6789471	6789662	6814141	6814300	0.769114942528736	0.886108695652174	2.85863887052603e-11	0.204284457774838	0.116993753123438
C20orf24_SE_113508	C20orf24	chr20	+	36607889	36608000	36607714	36607818	36609600	36609730	0.25664367816092	0.128739130434783	3.63467663325596e-13	-0.995316094096798	-0.127904547726137
ARMT1_SE_114166	ARMT1	chr6	+	151454547	151454653	151452257	151452586	151458327	151458572	0.697333333333333	0.889695652173913	1.42592918185243e-11	0.351463456404995	0.19236231884058
FCRL6_SE_114664	FCRL6	chr1	+	159808960	159809245	159808177	159808444	159809401	159809683	0.756666666666667	0.914586956521739	8.96290762358752e-14	0.273462452461837	0.157920289855072
FBXO42_SE_114877	FBXO42	chr1	-	16252287	16252404	16246839	16251785	16253095	16253152	0.773459770114942	0.936565217391304	3.41951150617562e-12	0.276053204656808	0.163105447276362
HSD17B4_SE_115378	HSD17B4	chr5	+	119471635	119471700	119456314	119456368	119473907	119474015	0.207206896551724	0.0927391304347826	2.10377923514718e-11	-1.15982191712273	-0.114467766116942
SIN3B_SE_116473	SIN3B	chr19	+	16862883	16862979	16862351	16862559	16863679	16863796	0.593977011494253	0.371717391304348	2.55650913038076e-11	-0.676200907702567	-0.222259620189905
CPNE2_SE_117627	CPNE2	chr16	+	57137148	57137282	57134774	57134826	57146084	57146321	0.792528735632184	0.900760869565217	3.6573021083513e-09	0.184680910227136	0.108232133933033
SAFB_SE_118018	SAFB	chr19	+	5648988	5649499	5648015	5648043	5649925	5649975	0.703655172413793	0.85004347826087	1.03864469390762e-14	0.272668027979115	0.146388305847077
ZNF821_SE_118092	ZNF821	chr16	-	71861775	71861942	71859679	71860672	71864137	71864242	0.371528735632184	0.747847826086957	7.16121205121258e-13	1.00927093751897	0.376319090454773
ZCCHC6_SE_118796	ZCCHC6	chr9	-	86318957	86319058	86317218	86317276	86319583	86319670	0.618528735632184	0.841086956521739	5.10189303463299e-10	0.44341434095761	0.222558220889555
NAA20_SE_11901	NAA20	chr20	+	20032507	20032653	20026783	20026919	20033101	20033629	0.729080459770115	0.912630434782609	3.38988243260426e-13	0.323952730088495	0.183549975012494
ZBTB7B_SE_120218	ZBTB7B	chr1	+	155014014	155014093	155002629	155002686	155014654	155015814	0.585298850574713	0.821586956521739	1.94589867027311e-10	0.489239832206738	0.236288105947026
ZBTB7B_SE_120220	ZBTB7B	chr1	+	155002842	155002943	155002629	155002686	155014654	155015814	0.695609195402299	0.879478260869565	1.09262808876504e-11	0.338370913239875	0.183869065467266
ITIH4_SE_121003	ITIH4	chr3	-	52818051	52818168	52816883	52817058	52818256	52818283	0.806241379310345	0.919173913043478	3.1028449402093e-12	0.189126024050935	0.112932533733133
