AS_ID	Gene_ID	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
RSPRY1_A5SS_1097	RSPRY1	chr16	+	57186283	57187050	57186283	57186451	57204503	57205008	0.267494252873563	0.138022222222222	3.24695347753838e-06	-0.954607329134546	-0.129472030651341
TM2D2_A5SS_1166	TM2D2	chr8	-	38996212	38996522	38996418	38996522	38995317	38995794	0.16067816091954	0.263933333333333	1.27724615639457e-05	0.71599971276873	0.103255172413793
PQBP1_A5SS_1210	PQBP1	chrX	+	48897911	48898082	48897911	48898014	48898491	48898576	0.547252873563218	0.650177777777778	1.52966826082568e-12	0.248626622594549	0.102924904214559
UBE2D3_A5SS_1818	UBE2D3	chr4	-	102827426	102827948	102827591	102827948	102826484	102826636	0.80732183908046	0.615133333333333	2.26531877062999e-12	-0.39224476299558	-0.192188505747126
EIF1AD_A5SS_2056	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000406	0.561402298850575	0.677933333333333	4.13837030703972e-08	0.272108437004655	0.116531034482759
EIF1AD_A5SS_2060	EIF1AD	chr11	-	66001909	66002166	66002039	66002166	66000302	66000481	0.454310344827586	0.556466666666667	9.00691727967779e-08	0.292617113672147	0.10215632183908
ACAD9_A5SS_284	ACAD9	chr3	+	128879489	128880017	128879489	128879841	128884652	128884746	0.403149425287356	0.284977777777778	3.60769561484665e-06	-0.500465241415758	-0.118171647509579
MRPL11_A5SS_2995	MRPL11	chr11	-	66438709	66438848	66438781	66438848	66438163	66438259	0.577022988505747	0.749088888888889	9.75219065654895e-08	0.376508126129147	0.172065900383142
MZF1_A5SS_3341	MZF1	chr19	-	58573054	58573575	58573372	58573575	58570993	58571429	0.563816091954023	0.702844444444444	8.51452813893315e-07	0.317980768550647	0.139028352490422
NPL_A5SS_3499	NPL	chr1	+	182806144	182806531	182806144	182806232	182812155	182812213	0.127885057471264	0.263266666666667	6.85088352315806e-15	1.04167716244695	0.135381609195402
CASP8_A5SS_358	CASP8	chr2	+	201276826	201277104	201276826	201276968	201284815	201285317	0.799965517241379	0.695777777777778	4.09644674835083e-06	-0.201311211607059	-0.104187739463601
CPNE1_A5SS_3605	CPNE1	chr20	-	35664759	35664956	35664801	35664956	35632794	35632923	0.89935632183908	0.768311111111111	5.97978010792269e-11	-0.227202202066281	-0.131045210727969
NDUFB8_A5SS_3910	NDUFB8	chr10	-	100529766	100529923	100529857	100529923	100529379	100529506	0.751137931034483	0.875422222222222	3.40348405363723e-06	0.220901153301591	0.124284291187739
PPP4R3A_A5SS_4105	PPP4R3A	chr14	-	91475810	91475966	91475849	91475966	91473238	91473370	0.794954022988506	0.681422222222222	2.36594048993318e-07	-0.222322426311444	-0.113531800766283
MORF4L1_A5SS_4280	MORF4L1	chr15	+	78872988	78873218	78872988	78873118	78878212	78878259	0.200310344827586	0.358155555555556	9.46996410656256e-06	0.838349391072918	0.157845210727969
