AS_ID	Gene_ID	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
MEF2BNB-MEF2B_MXE_100127	MEF2BNB-MEF2B	chr19	-	19182572	19182683	19186892	19187005	19180685	19180761	19192080	19192591	0.175183908045977	0.278417475728155	4.63900777360651e-13	0.668379510534422	0.103233567682178
MEF2BNB-MEF2B_MXE_100129	MEF2BNB-MEF2B	chr19	-	19182572	19182683	19186892	19187005	19150681	19150764	19192080	19192591	0.289034482758621	0.448388349514563	5.43126406080503e-12	0.633507171821519	0.159353866755942
MEF2BNB-MEF2B_MXE_100135	MEF2BNB-MEF2B	chr19	-	19150681	19150764	19182572	19182683	19149225	19149429	19186033	19186098	0.27935632183908	0.420970873786408	3.86465316424068e-11	0.591613950404661	0.141614551947327
TBRG1_MXE_100180	TBRG1	chr11	+	124625670	124625903	124626472	124626609	124622845	124623233	124626903	124627050	0.552149425287356	0.387456310679612	8.0169890469468e-12	-0.511025106586223	-0.164693114607745
TBRG1_MXE_100182	TBRG1	chr11	+	124624930	124625001	124625670	124625903	124622845	124623233	124626903	124627050	0.296459770114943	0.476718446601942	7.36964041174169e-20	0.685301108612251	0.180258676486999
GNPTG_MXE_100296	GNPTG	chr16	+	1352238	1352306	1361742	1361797	1352101	1352159	1361871	1361955	0.0555977011494253	0.158252427184466	2.04695379072646e-11	1.50913049022545	0.102654726035041
DHX36_MXE_100309	DHX36	chr3	-	154280578	154280669	154280762	154280862	154277597	154277718	154283187	154283271	0.794218390804598	0.67821359223301	1.63882244551495e-07	-0.227796070051139	-0.116004798571588
TMC8_MXE_100375	TMC8	chr17	+	78137234	78137358	78137716	78137814	78134869	78135009	78138004	78138188	0.762632183908046	0.594708737864078	6.78859454349849e-12	-0.358804142725638	-0.167923446043968
VAMP7_MXE_100420	VAMP7	chrX	+	155889457	155889612	155919812	155919880	155881279	155881448	155939700	155939793	0.311850574712644	0.48273786407767	2.26574922835282e-13	0.630385072922502	0.170887289365026
VAMP7_MXE_100426	VAMP7	chrX	+	155889457	155889547	155895622	155895680	155881279	155881448	155898111	155898249	0.197919540229885	0.344135922330097	1.78858337500295e-12	0.798064440378989	0.146216382100212
TXNDC15_MXE_100536	TXNDC15	chr5	+	134887694	134888182	134893491	134893655	134873769	134874530	134896293	134896424	0.0955632183908046	0.258582524271845	8.90801111741602e-14	1.43609743008739	0.16301930588104
TXNDC15_MXE_100537	TXNDC15	chr5	+	134887694	134888182	134896293	134896424	134873769	134874530	134899488	134901633	0.0766781609195402	0.233038834951456	5.33652879891018e-15	1.6036827536912	0.156360674031916
YIPF1_MXE_100804	YIPF1	chr1	-	53888906	53888986	53889243	53889463	53878641	53878722	53889712	53889814	0.371609195402299	0.528466019417476	2.66953458915883e-16	0.508024507315447	0.156856824015177
BNIP2_MXE_100830	BNIP2	chr15	-	59680240	59680308	59682407	59682514	59677910	59678087	59689134	59689443	0.698862068965517	0.804553398058252	3.49441656342182e-07	0.20318042958928	0.105691329092735
UBAP2L_MXE_10086	UBAP2L	chr1	+	154261591	154261697	154268756	154268954	154259947	154260029	154270199	154270853	0.39383908045977	0.223766990291262	1.1015945885588e-07	-0.815609048065662	-0.170072090168508
TMCO3_MXE_100925	TMCO3	chr13	+	113520615	113520733	113534044	113534240	113499957	113500149	113539356	113539507	0.0352068965517241	0.150436893203884	1.37907781849831e-10	2.09522845154013	0.115229996652159
MRPL22_MXE_101007	MRPL22	chr5	+	154941216	154941265	154950820	154950938	154941072	154941138	154956370	154956436	0.467172413793103	0.330320388349515	7.91124468984512e-15	-0.500089066823241	-0.136852025443589
ABCA7_MXE_101089	ABCA7	chr19	+	1056329	1056499	1057313	1057429	1056065	1056243	1057914	1058059	0.146	0.328679611650485	4.07961196412086e-14	1.17071359816473	0.182679611650485
ABCA7_MXE_101090	ABCA7	chr19	+	1056329	1056499	1056906	1057084	1056065	1056243	1057313	1057429	0.206724137931034	0.360349514563107	7.33870867174403e-14	0.801690048453189	0.153625376632072
TBPL1_MXE_101095	TBPL1	chr6	+	133980081	133980260	133982567	133982650	133953162	133953425	133982816	133982880	0.234459770114943	0.374495145631068	1.22293134083242e-15	0.67560661946607	0.140035375516125
KLHL12_MXE_101356	KLHL12	chr1	-	202893238	202893425	202894590	202894749	202891095	202892659	202909009	202909124	0.300931034482759	0.18678640776699	4.59637408981765e-09	-0.688043421318159	-0.114144626715768
EIF3A_MXE_101410	EIF3A	chr10	-	119073440	119073577	119073746	119073937	119072889	119073053	119080627	119080822	0.349885057471264	0.456271844660194	2.78688212055447e-15	0.383012578832569	0.10638678718893
VRK3_MXE_101807	VRK3	chr19	-	49989638	49989771	49992859	49992952	49988371	49988492	49994813	49994919	0.631574712643678	0.523155339805825	1.73159506517173e-11	-0.27171402132363	-0.108419372837853
VRK3_MXE_101809	VRK3	chr19	-	49989638	49989771	49997503	49997570	49988371	49988492	50000789	50000854	0.65516091954023	0.494087378640777	1.78257848375448e-15	-0.407083099630381	-0.161073540899453
VRK3_MXE_101810	VRK3	chr19	-	49989638	49989771	49995190	49995275	49988371	49988492	49997503	49997570	0.629367816091954	0.473242718446602	3.56568428780586e-12	-0.411323097536461	-0.156125097645352
VRK3_MXE_101823	VRK3	chr19	-	49992859	49992952	49997503	49997570	49989638	49989771	50000789	50000854	0.486919540229885	0.382349514563107	4.44082631051104e-15	-0.348791355147079	-0.104570025666778
TVP23B_MXE_102050	TVP23B	chr17	+	18789352	18789435	18797578	18797668	18781268	18781305	18798811	18798943	0.109873563218391	0.257902912621359	1.28592292041692e-18	1.23098376643833	0.148029349402968
FCHO1_MXE_102096	FCHO1	chr19	+	17766668	17766810	17770424	17770577	17764374	17764449	17770791	17770896	0.154666666666667	0.279	8.95704461153679e-16	0.851102817422772	0.124333333333333
ACTR1B_MXE_102238	ACTR1B	chr2	-	97659351	97659477	97661881	97661946	97658878	97659003	97663842	97664098	0.214862068965517	0.350203883495146	1.35199460011702e-10	0.704784265589183	0.135341814529628
CSNK1G2_MXE_10223	CSNK1G2	chr19	+	1979751	1979835	1979910	1980017	1979494	1979643	1980148	1981337	0.488528735632184	0.640844660194175	1.06018588407255e-08	0.391531266948963	0.152315924561991
JTB_MXE_102272	JTB	chr1	-	153975825	153975905	153976692	153976775	153974268	153974835	153976975	153977013	0.27467816091954	0.418514563106796	3.32174791087899e-08	0.607535615962111	0.143836402187256
DERL2_MXE_102332	DERL2	chr17	-	5480053	5480144	5485150	5485216	5471250	5474789	5486068	5486230	0.344689655172414	0.510699029126214	1.50769470473662e-14	0.567175315206575	0.1660093739538
SPAG9_MXE_102395	SPAG9	chr17	-	51056411	51056482	51079583	51079704	51047374	51047469	51120353	51120865	0.275632183908046	0.392640776699029	4.81990656091151e-16	0.510465655293129	0.117008592790983
R3HDM1_MXE_102653	R3HDM1	chr2	+	135602499	135602708	135616667	135616757	135531454	135531633	135621493	135621608	0.386597701149425	0.599067961165049	1.41636308045705e-14	0.631886619811778	0.212470260015623
TMEM2_MXE_102684	TMEM2	chr9	-	71745017	71745579	71746200	71746341	71740062	71740232	71750042	71750385	0.29751724137931	0.414776699029126	4.41547023436215e-13	0.479361573680492	0.117259457649816
TMEM2_MXE_102691	TMEM2	chr9	-	71732350	71732520	71746200	71746341	71730704	71730914	71750042	71750385	0.328850574712644	0.432854368932039	1.2718148856776e-10	0.39644952953307	0.104003794219395
TMEM2_MXE_102711	TMEM2	chr9	-	71740062	71740232	71746200	71746341	71734805	71734994	71750042	71750385	0.309402298850575	0.433339805825243	1.18444381550631e-09	0.486014850090773	0.123937506974668
TMEM2_MXE_102714	TMEM2	chr9	-	71740062	71740232	71746200	71746341	71732350	71732520	71750042	71750385	0.701896551724138	0.802436893203884	4.90561507830851e-08	0.193129521353811	0.100540341479746
DDB1_MXE_103066	DDB1	chr11	-	61326778	61326893	61331542	61331691	61325610	61325708	61332907	61333212	0.30432183908046	0.408300970873786	1.40002595507065e-10	0.424035128217986	0.103979131793327
DDB1_MXE_103095	DDB1	chr11	-	61329957	61330074	61331542	61331691	61329362	61329584	61332907	61333212	0.386425287356322	0.535631067961165	1.19662975844849e-15	0.471050137010301	0.149205780604843
ZNF148_MXE_103102	ZNF148	chr3	-	125288102	125288228	125331157	125331238	125279123	125279247	125375101	125375354	0.0385287356321839	0.140553398058252	1.52377176859129e-17	1.8671115850627	0.102024662426069
UBOX5_MXE_103327	UBOX5	chr20	-	3121383	3122584	3123311	3123406	3115304	3115466	3159765	3159910	0.688850574712644	0.845427184466019	6.90018732808507e-15	0.295489434720991	0.156576609753376
