AS_ID	Gene_ID	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
FAM96B_RI_1023	FAM96B	chr16	-	66933986	66934423	66933986	66934064	66934220	66934423	0.844712643678161	0.743417475728155	1.20069624422598e-08	-0.184288043036445	-0.101295167950006
ORC2_RI_1090	ORC2	chr2	-	200913294	200913992	200913294	200913413	200913930	200913992	0.525988505747126	0.395427184466019	3.55198863048211e-16	-0.411619217570207	-0.130561321281107
PPCS_RI_132	PPCS	chr1	+	42456493	42457350	42456493	42457073	42457246	42457350	0.457126436781609	0.333009708737864	1.67926136193541e-16	-0.457029017079527	-0.124116728043745
TREX1_RI_157	TREX1	chr3	+	48465519	48467645	48465519	48466309	48466629	48467645	0.600597701149425	0.37278640776699	1.40274568081129e-15	-0.68804969425445	-0.227811293382435
HMGN3_RI_173	HMGN3	chr6	-	79201244	79202389	79201244	79201726	79202316	79202389	0.597264367816092	0.440126213592233	2.82441738045642e-18	-0.440452354487484	-0.157138154223859
HMGN3_RI_174	HMGN3	chr6	-	79201244	79202389	79201244	79201726	79202275	79202389	0.549367816091954	0.366106796116505	3.05148842561837e-23	-0.58550783977685	-0.183261019975449
MCM7_RI_215	MCM7	chr7	-	100099022	100099403	100099022	100099203	100099278	100099403	0.385091954022989	0.274543689320388	3.23263302882901e-20	-0.488167230504091	-0.1105482647026
BICD2_RI_28	BICD2	chr9	-	92711362	92715463	92711362	92713461	92715252	92715463	0.894103448275862	0.75978640776699	1.12654261442321e-11	-0.234847858623719	-0.134317040508872
ZNRD1_RI_395	ZNRD1	chr6	+	30061239	30061669	30061239	30061398	30061514	30061669	0.64767816091954	0.497912621359223	5.7564874636836e-14	-0.379384512537876	-0.149765539560317
GPX1_RI_418	GPX1	chr3	-	49357175	49358358	49357175	49357747	49358026	49358358	0.203747126436782	0.0992233009708738	4.51386631679177e-16	-1.03802885346004	-0.104523825465908
SLC30A7_RI_51	SLC30A7	chr1	+	100974809	100981755	100974809	100974902	100975218	100981755	0.885712643678161	0.779126213592233	1.30958002320671e-07	-0.184981658871051	-0.106586430085928
C6orf25_RI_527	C6orf25	chr6	+	31724745	31726708	31724745	31724844	31724969	31726708	0.102609195402299	0.21404854368932	1.34059576121933e-09	1.06077799501195	0.111439348287022
ELMOD3_RI_553	ELMOD3	chr2	+	85390137	85391752	85390137	85390265	85390759	85391752	0.25816091954023	0.399660194174757	1.20023638737366e-14	0.630503267014652	0.141499274634527
