AS_ID	Gene_ID	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	MeanIncLevel_1	MeanIncLevel_2	pvalue	Log2FC	deltaPSI
FAM96B_RI_1023	FAM96B	chr16	-	66933986	66934423	66933986	66934064	66934220	66934423	0.844712643678161	0.699739130434783	1.7847780914888e-08	-0.271643473957867	-0.144973513243378
ORC2_RI_1090	ORC2	chr2	-	200913294	200913992	200913294	200913413	200913930	200913992	0.525988505747126	0.394652173913043	1.17099673469555e-10	-0.414449576895957	-0.131336331834083
C2CD5_RI_116	C2CD5	chr12	-	22544060	22544546	22544060	22544179	22544319	22544546	0.210816091954023	0.089695652173913	6.97472570631768e-11	-1.23287503451144	-0.12112043978011
PPCS_RI_132	PPCS	chr1	+	42456493	42457350	42456493	42457073	42457246	42457350	0.457126436781609	0.331391304347826	2.43493248398968e-11	-0.46405750908869	-0.125735132433783
TREX1_RI_157	TREX1	chr3	+	48465519	48467645	48465519	48466309	48466629	48467645	0.600597701149425	0.318869565217391	1.44657219561953e-14	-0.913432547959405	-0.281728135932034
HMGN3_RI_173	HMGN3	chr6	-	79201244	79202389	79201244	79201726	79202316	79202389	0.597264367816092	0.399282608695652	1.2229580702152e-16	-0.580959419861562	-0.19798175912044
HMGN3_RI_174	HMGN3	chr6	-	79201244	79202389	79201244	79201726	79202275	79202389	0.549367816091954	0.358891304347826	1.49142028026491e-16	-0.614225426496827	-0.190476511744128
SRSF1_RI_178	SRSF1	chr17	-	58000918	58005973	58000918	58005600	58005800	58005973	0.487919540229885	0.378239130434783	1.83491736038032e-10	-0.367344637654144	-0.109680409795102
MCM7_RI_215	MCM7	chr7	-	100099022	100099403	100099022	100099203	100099278	100099403	0.385091954022989	0.263065217391304	6.38650584610102e-15	-0.549782472996589	-0.122026736631684
BICD2_RI_28	BICD2	chr9	-	92711362	92715463	92711362	92713461	92715252	92715463	0.894103448275862	0.692478260869565	1.70227147698611e-13	-0.368672980686736	-0.201625187406297
ZNRD1_RI_395	ZNRD1	chr6	+	30061239	30061669	30061239	30061398	30061514	30061669	0.64767816091954	0.479565217391304	9.55877837750181e-11	-0.433550073974839	-0.168112943528236
GPX1_RI_418	GPX1	chr3	-	49357175	49358358	49357175	49357747	49358026	49358358	0.203747126436782	0.0658478260869565	4.23151580691256e-17	-1.62957199536345	-0.137899300349825
CIRBP_RI_455	CIRBP	chr19	+	1271980	1273172	1271980	1272051	1272426	1273172	0.106770114942529	0.257760869565217	4.96168219528535e-12	1.27152537434265	0.150990754622689
